CNTR_ID,Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CF,Central African Republic,CAF,74.59629113,80.52069615,79.96806873,81.58782917,87.85880656,91.32220743,93.84542062,95.32440203,109.253012,104.9238121,103.4097966,108.0305906,121.1751674,139.9739143,142.4105583,187.6989974,218.8411744,240.6061744,282.8266569,316.5312549,350.4902816,296.8917646,310.2850949,264.9910859,249.3013966,329.1626463,416.9955081,436.5397384,450.186954,429.7903623,490.3995393,457.4552983,457.0583079,403.2931149,261.6021372,334.3654767,294.9204314,268.0862195,270.4307455,273.5813579,245.4343849,245.5632726,256.8506088,290.5096583,318.4837946,332.9466401,353.8944517,404.1131819,463.8276186,454.3693169,446.8002046,488.3573422,472.8182181,317.1673705,351.994226,306.7787523
CA,Canada,CAN,2294.568814,2231.293824,2255.230044,2354.839122,2529.518179,2739.585849,3010.705908,3173.076194,3411.060154,3703.990405,4121.932809,4586.255848,5141.616725,5870.600564,7043.474351,7489.940531,8783.721592,8892.76168,9096.058722,10012.44397,11135.43799,12297.78569,12439.74784,13377.89565,13826.64999,14060.46178,14403.8287,16245.45168,18864.26292,20638.29005,21371.2911,21664.59864,20771.25035,20017.42985,19859.20398,20577.48939,21183.22008,21770.13408,20887.83947,22167.22585,24124.16917,23691.59472,24167.80431,28172.14883,31979.87195,36189.58838,40386.69948,44544.5268,46596.33599,40773.45436,47445.76193,52083.82622,52495.28847,52266.17568,50185.4815,43248.52991
,Central Europe and the Baltics,CEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2294.681277,2184.549578,2344.780507,2470.973907,2804.071102,3487.260736,3739.483043,3720.810967,4087.171782,3963.396873,3943.594923,4342.007537,4920.173579,5937.824613,7141.72214,8317.199456,9434.650976,11943.24107,14449.88034,12161.4616,12546.04673,13869.24747,12978.00134,13685.03986,14084.05849,12323.24137
CH,Switzerland,CHE,1787.360348,1971.316323,2131.391652,2294.182847,2501.29319,2620.475547,2784.733548,2960.722586,3121.889031,3344.783603,,,,,,,,,,,18785.03644,17110.44514,17434.88509,17298.56641,16457.82916,16613.62848,23691.97026,29484.873,31664.15929,30325.75893,38332.15172,38303.04989,39435.53813,38005.32345,41738.97019,48540.57749,46610.05975,40429.93726,41487.69019,40577.33663,37813.23426,38538.64447,41336.72192,47960.56497,53255.97631,54797.54663,57348.92788,63223.46778,72119.56087,69672.00471,74277.12051,88002.60957,83208.68654,84669.29294,85610.84203,80214.73015
,Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40538.06446,42406.93285,43299.40114,41609.01948,44158.04026,48227.66551,55844.11669,57209.24916,62260.22555,73568.23483,,,,,,,,
CL,Chile,CHL,547.2850266,597.6228026,683.2210679,665.5811901,687.8650023,702.942226,796.7328529,768.5654125,770.0407447,872.3223701,939.263297,1097.82711,1162.955722,1624.550672,1514.913472,693.4805864,931.3423204,1243.135837,1411.768525,1872.574656,2454.288156,2863.462522,2103.823804,1683.725609,1613.294224,1361.515363,1440.364457,1671.166627,1937.710621,2195.54149,2401.525181,2727.573825,3277.669086,3461.435092,3942.967594,5026.720634,5263.191366,5674.153008,5367.211824,4872.692148,5229.177098,4709.9234,4566.523326,4948.74818,6323.75764,7728.611897,9500.835162,10513.54071,10791.02019,10217.31403,12785.05187,14582.17052,15253.33083,15764.75545,14566.14905,13383.8768
CN,China,CHN,88.72249762,75.04891521,70.12208196,73.42039214,84.57339733,97.47009951,103.1811732,95.49669148,90.37132883,98.88988471,111.8227227,117.1815931,130.1112649,155.0784389,157.9993803,175.8657481,162.9205234,182.6785743,155.1846298,182.5135323,193.2768322,195.5649286,201.808024,223.7349393,248.9158221,292.547939,280.0980446,250.3145871,282.0567828,309.2633852,316.2244304,331.474916,364.7596641,375.8142938,471.7608812,607.5685831,707.0297713,778.9439057,825.5479571,869.6548821,954.5522917,1047.477863,1141.757644,1280.602855,1498.173796,1740.096726,2082.183363,2673.294191,3441.221355,3800.474542,4514.94052,5574.187093,6264.643878,6991.853866,7587.289732,7924.653957
CI,Cote d'Ivoire,CIV,157.1933651,171.6359696,172.5127542,195.6490451,227.441295,217.9687483,232.7477985,235.8672597,267.2454416,271.6764349,277.6624712,288.6745104,321.7673081,416.5840739,486.7126607,589.4045367,674.0674163,865.6456811,1043.723595,1155.521145,1231.087928,977.224674,840.5659442,728.7620334,700.3342937,686.909626,868.237923,922.0901681,904.5655337,830.7928079,887.3854461,832.6844214,854.8364234,818.2228303,595.7925412,763.6689247,817.3361967,766.3339328,801.8595646,766.9336227,648.8107641,663.6413459,718.453113,875.0860951,929.893384,942.2163849,962.9184427,1078.541502,1257.675582,1233.304856,1236.085198,1231.867834,1281.382865,1447.222821,1545.942249,1398.694589
CM,Cameroon,CMR,115.4073135,120.1198714,125.0272859,126.526884,133.7305454,135.969396,139.1730804,148.7210921,163.593492,174.5961743,171.3200388,177.5821328,200.5714072,240.0051702,299.546505,355.6461114,386.5308919,411.1424748,523.3887876,670.0100815,754.6648207,829.9342339,772.4072578,755.5204249,774.7025728,784.9096071,992.4963424,1115.211585,1098.755842,950.76221,923.8812783,1000.326541,890.5636811,1027.567353,680.6371437,626.9560402,679.7651939,668.972082,637.3608604,675.9238649,583.0948382,589.2039195,648.3996054,791.1064754,892.8987777,915.0912877,965.3686883,1070.954675,1191.709554,1164.717254,1147.242347,1258.924651,1222.192142,1331.200021,1407.403413,1250.777456
CG,"Congo, Rep.",COG,129.9667837,145.846825,155.9755752,157.0753458,164.826376,171.2731734,185.333342,193.9456508,199.5310144,204.4845846,205.9491868,234.0725143,289.3453225,370.1872355,387.6895087,492.8679785,470.5799887,463.4536207,516.991172,685.055005,946.7770499,1074.443245,1130.751814,1065.90697,1083.078904,1037.062182,863.1240066,1043.434625,977.9183315,1028.272862,1172.757072,1112.128364,1166.334463,743.410575,667.6941418,777.5775374,908.7216322,808.2852124,660.1673277,776.3632945,1035.584462,877.626394,927.2695886,1049.317595,1362.198833,1737.611546,2144.834943,2259.269413,3094.10972,2428.260233,2953.185008,3453.221229,3191.164299,3205.457783,3147.071524,1851.199916
