DATE,DURATION,COUNTRY_ID,EVENT,ID_EVENT
1894,1,CN,First Sino-Japanese War,w_106
1894,1,JP,First Sino-Japanese War,w_106
1895,1,ET,First Italo-Ethiopian War,w_107
1895,1,IT,First Italo-Ethiopian War,w_107
1897,0,TR,Greco-Turkish War,w_108
1897,0,EL,Greco-Turkish War,w_108
1898,0,US,Spanish-American War,w_109
1898,0,CU,Spanish-American War,w_109
1898,0,PH,Spanish-American War,w_109
1898,0,Es,Spanish-American War,w_109
1899,3,UK,Second Boer War,w_110
1899,3,IN,Second Boer War,w_110
1899,3,AU,Second Boer War,w_110
1899,3,CA,Second Boer War,w_110
1899,3,NZ,Second Boer War,w_110
1899,3,ZA,Second Boer War,w_110
1899,14,US,Philippine-American War,w_111
1899,14,PH,Philippine-American War,w_111
1899,4,BR,Acre War,w_112
1899,4,BO,Acre War,w_112
1899,4,US,Acre War,w_112
1904,1,RU,Russo Japanese War,w_113
1904,1,JP,Russo Japanese War,w_113
1904,1,ME,Russo Japanese War,w_113
1907,0,HN,Honduran-Nicaraguan War,w_114
1907,0,NI,Honduran-Nicaraguan War,w_114
1911,1,IT,Italo-Turkish War,w_115
1911,1,TR,Italo-Turkish War,w_115
1912,3,MN,Sino-Mondolian War,w_116
1912,3,CN,Sino-Mondolian War,
1912,1,BG,First Balkan War,w_116
1912,1,EL,First Balkan War,w_116
1912,1,RS,First Balkan War,w_116
1912,1,ME,First Balkan War,w_116
1912,1,TR,First Balkan War,w_116
1913,0,BG,Second Balkan War,w_117
1913,0,EL,Second Balkan War,w_117
1913,0,RS,Second Balkan War,w_117
1913,0,ME,Second Balkan War,w_117
1913,0,TR,Second Balkan War,w_117
1913,0,RO,Second Balkan War,w_117
1914,4,BE,World War I,w_118
1914,4,RS,World War I,w_118
1914,4,FR,World War I,w_118
1914,4,RU,World War I,w_118
1914,4,UK,World War I,w_118
1915,3,IT,World War I,w_118
1914,4,IN,World War I,w_118
1914,4,CN,World War I,w_118
1914,4,CA,World War I,w_118
1914,4,AU,World War I,w_118
1914,4,NZ,World War I,w_118
1914,4,UA,World War I,w_118
1917,1,US,World War I,w_118
1914,4,ME,World War I,w_118
1914,4,JP,World War I,w_118
1916,2,PT,World War I,w_118
1916,2,RO,World War I,w_118
1914,4,EL,World War I,w_118
1914,4,AL,World War I,w_118
1917,1,BR,World War I,w_118
1918,0,AZ,World War I,w_118
1914,4,CZ,World War I,w_118
1914,4,SK,World War I,w_118
1914,4,TH,World War I,w_118
1917,1,CN,World War I,w_118
1914,4,ZA,World War I,w_118
1914,4,AT,World War I,w_118
1914,4,HU,World War I,w_118
1914,4,DE,World War I,w_118
1914,4,TR,World War I,w_118
1914,4,BG,World War I,w_118
1918,0,GE,Georgian-Armenian War,w_119
1918,0,AZ,Georgian-Armenian War,w_119
1919,0,PL,Polish-Czechoslovak War,w_120
1919,0,CZ,Polish-Czechoslovak War,w_120
1919,0,SK,Polish-Czechoslovak War,w_120
1919,0,HU,Hungarian-Romanian war of 1919,w_121
1919,0,RO,Hungarian-Romanian war of 1919,w_121
1919,0,AF,Third Anglo-Afghan War,w_122
1919,0,UK,Third Anglo-Afghan War,w_122
1919,0,IN,Third Anglo-Afghan War,w_122
1919,1,IT,Italo-Yugoslav War,w_123
1919,1,RS,Italo-Yugoslav War,w_123
1919,1,HR,Italo-Yugoslav War,w_123
1919,1,SI,Italo-Yugoslav War,w_123
1919,2,PL,Polish-Soviet War,w_124
1919,2,UA,Polish-Soviet War,w_124
1919,2,RU,Polish-Soviet War,w_124
1920,0,FR,Franco-Syrian War,w_125
1920,0,SY,Franco-Syrian War,w_125
1920,0,IT,Vlora War,w_126
1920,0,AL,Vlora War,w_126
1919,2,PL,Polish-Soviet War,w_127
1919,2,UA,Polish-Soviet War,w_127
1919,2,RU,Polish-Soviet War,w_127
1932,3,BO,Chaco War,w_128
1932,3,PY,Chaco War,w_128
1934,0,YE,Saudi Yemeni War,w_129
1934,0,SA,Saudi Yemeni War,w_129
1935,1,IT,Second Italo-Ethiopian War,w_130
1935,1,ET,Second Italo-Ethiopian War,w_130
1935,1,CN,Second Sino-Japanese War,w_130
1935,1,JP,Second Sino-Japanese War,w_130
1939,0,SK,Slovak-Hungarian War,w_131
1939,0,HU,Slovak-Hungarian War,w_131
1939,6,PL,World War II,w_132
1939,6,AU,World War II,w_132
1939,6,FR,World War II,w_132
1939,6,NZ,World War II,w_132
1939,6,UK,World War II,w_132
1939,6,ZA,World War II,w_132
1939,6,CA,World War II,w_132
1939,6,CZ,World War II,w_132
1939,6,SK,World War II,w_132
1940,5,DK,World War II,w_132
1940,5,NO,World War II,w_132
1940,5,BE,World War II,w_132
1940,5,LU,World War II,w_132
1940,5,NL,World War II,w_132
1940,5,EL,World War II,w_132
1940,5,RS,World War II,w_132
1940,5,ME ,World War II,w_132
1940,5,HR,World War II,w_132
1940,5,MK,World War II,w_132
1941,4,RU,World War II,w_132
1941,4,CR,World War II,w_132
1941,4,DO,World War II,w_132
1941,4,SV,World War II,w_132
1941,4,HT,World War II,w_132
1941,4,HN,World War II,w_132
1941,4,NI,World War II,w_132
1941,4,US,World War II,w_132
1941,4,CN,World War II,w_132
1941,4,GT,World War II,w_132
1941,4,CU,World War II,w_132
1941,4,PH,World War II,w_132
1942,3,IN,World War II,w_132
1942,3,MX,World War II,w_132
1942,3,BR,World War II,w_132
1942,3,ET,World War II,w_132
1943,2,IQ,World War II,w_132
1943,2,BO,World War II,w_132
1943,2,CO,World War II,w_132
1943,2,IR,World War II,w_132
1944,1,LR,World War II,w_132
1944,1,PE,World War II,w_132
1940,5,IT,World War II,w_132
1944,1,RO,World War II,w_132
1944,1,BG,World War II,w_132
1944,1,AL,World War II,w_132
1945,0,PY,World War II,w_132
1945,0,EC,World War II,w_132
1945,0,UY,World War II,w_132
1945,0,VE,World War II,w_132
1945,0,TR,World War II,w_132
1945,0,EG,World War II,w_132
1945,0,LB,World War II,w_132
1945,0,SY,World War II,w_132
1945,0,SA,World War II,w_132
1945,0,AR,World War II,w_132
1945,0,CL,World War II,w_132
1939,6,DE,World War II,w_132
1939,6,HU,World War II,w_132
1939,6,JP,World War II,w_132
1939,6,HR,World War II,w_132
1939,6,SK,World War II,w_132
1939,6,FI,World War II,w_132
1939,6,TH,World War II,w_132
1941,0,EC,Ecuadorian-Peruvian War,w_133
1941,0,PE,Ecuadorian-Peruvian War,w_133
1937,8,CN,Second Sino-Japanese War,w_134
1937,8,JP,Second Sino-Japanese War,w_134
1792,0,PL,Polish-Russian War of 1792,w_135
1792,0,RU,Polish-Russian War of 1792,w_135
1792,0,LT,Polish-Russian War of 1792,w_135
1792,0,TH,Burmese-Siamese War,w_136
1792,0,MM,Burmese-Siamese War,w_136
1792,5,FR,War of the First Coalition,w_137
1792,5,DE,War of the First Coalition,w_137
1792,5,AT,War of the First Coalition,w_137
1792,5,UK,War of the First Coalition,w_137
1792,5,PT,War of the First Coalition,w_137
1792,5,IT,War of the First Coalition,w_137
1792,5,TR,War of the First Coalition,w_137
1795,2,PL,War of the First Coalition,w_137
1792,5,ES,War of the First Coalition,w_137
1792,3,NL,War of the First Coalition,w_137
1796,12,ES,Anglo-Spanish War,w_138
1796,12,UK,Anglo-Spanish War,w_138
1797,0,TH,Burmese-Siamese War,w_139
1797,0,MM,Burmese-Siamese War,w_139
1798,4,FR,War of the Second Coalition,w_140
