"","i","j","cosSimEs"
"721","Cie16Mis","Iye13Eur",0.707106781186547
"722","Cie16Mis","Kam90Jou",0.707106781186547
"723","Cie16Mis","Knu01Ame",0.707106781186547
"724","Cie16Mis","Kra98Urb",0.707106781186547
"725","Cie16Mis","Kru96Jou",0.707106781186547
"726","Cie16Mis","Kum14Jou",0.707106781186547
"728","Cie16Mis","Li_16Wor",0.707106781186547
"730","Cie16Mis","Mal80Env",0.707106781186547
"731","Cie16Mis","Man16Reg",0.707106781186547
"732","Cie16Mis","Mir86Urb",0.707106781186547
"733","Cie16Mis","Mod15Qua",0.707106781186547
"735","Cie16Mis","Mor13Tow",0.707106781186547
"736","Cie16Mis","Nau03Jou",0.707106781186547
"737","Cie16Mis","Nis08Jou",0.707106781186547
"738","Cie16Mis","Oka79Reg",0.707106781186547
"739","Cie16Mis","Par83Jou",0.707106781186547
"740","Cie16Mis","Par85Jou",0.707106781186547
"741","Cie16Mis","Pen10Phy",0.707106781186547
"742","Cie16Mis","Pop74Sov",0.707106781186547
"743","Cie16Mis","Pum15Cyb",0.707106781186547
"744","Cie16Mis","Ros80Jou",0.707106781186547
"745","Cie16Mis","Roz11Ame",0.707106781186547
"746","Cie16Mis","Sch12Reg",0.707106781186547
"747","Cie16Mis","She12Com",0.707106781186547
"748","Cie16Mis","Son02Urb",0.707106781186547
"751","Cie16Mis","Sua80Jou",0.707106781186547
"753","Cie16Mis","XuZ09Urb",0.707106781186547
"754","Cie16Mis","Ziq16Asi",0.707106781186547
"756","Cra05Con","Del13Eur",0.707106781186547
"760","Cra05Con","Ezz15Rev",0.707106781186547
"765","Cra05Con","Gan13Eco",0.707106781186547
"770","Cra05Con","Hol10Nat",0.707106781186547
"778","Cra05Con","LeG08Emp",0.707106781186547
"785","Cra05Con","Mor13Tex",0.707106781186547
"800","Cra05Con","Soo05Reg",0.707106781186547
"801","Cra05Con","Soo07Urb",0.707106781186547
"803","Cra05Con","Ven13Oec",0.707106781186547
"806","Del04Con","Del13Eur",0.707106781186547
"810","Del04Con","Ezz15Rev",0.707106781186547
"815","Del04Con","Gan13Eco",0.707106781186547
"820","Del04Con","Hol10Nat",0.707106781186547
"828","Del04Con","LeG08Emp",0.707106781186547
"835","Del04Con","Mor13Tex",0.707106781186547
"850","Del04Con","Soo05Reg",0.707106781186547
"851","Del04Con","Soo07Urb",0.707106781186547
"853","Del04Con","Ven13Oec",0.707106781186547
"856","Del13Eur","Dim09Urb",0.707106781186547
"857","Del13Eur","Eec04The",0.707106781186547
"858","Del13Eur","Ett87Env",0.707106781186547
"860","Del13Eur","Faz15Jou",0.707106781186547
"861","Del13Eur","Gab11Jou",0.707106781186547
"862","Del13Eur","Gab99Qua",0.707106781186547
"863","Del13Eur","Gan06Eco",0.707106781186547
"865","Del13Eur","Gie10Jou",0.707106781186547
"866","Del13Eur","Gon10Jou",0.707106781186547
"867","Del13Eur","Gue95Urb",0.707106781186547
"868","Del13Eur","Gul12Age",0.707106781186547
"870","Del13Eur","Ign15Dis",0.707106781186547
"871","Del13Eur","Iye13Eur",0.707106781186547
"872","Del13Eur","Kam90Jou",0.707106781186547
"873","Del13Eur","Knu01Ame",0.707106781186547
"874","Del13Eur","Kra98Urb",0.707106781186547
"875","Del13Eur","Kru96Jou",0.707106781186547
"876","Del13Eur","Kum14Jou",0.707106781186547
"878","Del13Eur","Li_16Wor",0.707106781186547
"880","Del13Eur","Mal80Env",0.707106781186547
"881","Del13Eur","Man16Reg",0.707106781186547
"882","Del13Eur","Mir86Urb",0.707106781186547
"883","Del13Eur","Mod15Qua",0.707106781186547
"885","Del13Eur","Mor13Tow",0.707106781186547
"886","Del13Eur","Nau03Jou",0.707106781186547
"887","Del13Eur","Nis08Jou",0.707106781186547
"888","Del13Eur","Oka79Reg",0.707106781186547
"889","Del13Eur","Par83Jou",0.707106781186547
"890","Del13Eur","Par85Jou",0.707106781186547
"891","Del13Eur","Pen10Phy",0.707106781186547
"892","Del13Eur","Pop74Sov",0.707106781186547
"893","Del13Eur","Pum15Cyb",0.707106781186547
"894","Del13Eur","Ros80Jou",0.707106781186547
"895","Del13Eur","Roz11Ame",0.707106781186547
"896","Del13Eur","Sch12Reg",0.707106781186547
"897","Del13Eur","She12Com",0.707106781186547
"898","Del13Eur","Son02Urb",0.707106781186547
"901","Del13Eur","Sua80Jou",0.707106781186547
"903","Del13Eur","XuZ09Urb",0.707106781186547
"904","Del13Eur","Ziq16Asi",0.707106781186547
"907","Dim09Urb","Ezz15Rev",0.707106781186547
"950","Dim09Urb","Ven13Oec",0.707106781186547
"954","Eec04The","Ezz15Rev",0.707106781186547
"959","Eec04The","Gan13Eco",0.707106781186547
"964","Eec04The","Hol10Nat",0.707106781186547
"972","Eec04The","LeG08Emp",0.707106781186547
"979","Eec04The","Mor13Tex",0.707106781186547
"994","Eec04The","Soo05Reg",0.707106781186547
"995","Eec04The","Soo07Urb",0.707106781186547
"997","Eec04The","Ven13Oec",0.707106781186547
"1000","Ett87Env","Ezz15Rev",0.707106781186547
"1005","Ett87Env","Gan13Eco",0.707106781186547
"1010","Ett87Env","Hol10Nat",0.707106781186547
"1018","Ett87Env","LeG08Emp",0.707106781186547
"1025","Ett87Env","Mor13Tex",0.707106781186547
"1040","Ett87Env","Soo05Reg",0.707106781186547
"1041","Ett87Env","Soo07Urb",0.707106781186547
"1043","Ett87Env","Ven13Oec",0.707106781186547
"1046","Ezz15Rev","Faz15Jou",0.707106781186547
"1047","Ezz15Rev","Gab11Jou",0.707106781186547
"1048","Ezz15Rev","Gab99Qua",0.707106781186547
"1049","Ezz15Rev","Gan06Eco",0.707106781186547
"1051","Ezz15Rev","Gie10Jou",0.707106781186547
"1052","Ezz15Rev","Gon10Jou",0.707106781186547
"1053","Ezz15Rev","Gue95Urb",0.707106781186547
"1054","Ezz15Rev","Gul12Age",0.707106781186547
"1056","Ezz15Rev","Ign15Dis",0.707106781186547
"1057","Ezz15Rev","Iye13Eur",0.707106781186547
"1058","Ezz15Rev","Kam90Jou",0.707106781186547
"1059","Ezz15Rev","Knu01Ame",0.707106781186547
"1060","Ezz15Rev","Kra98Urb",0.707106781186547
"1061","Ezz15Rev","Kru96Jou",0.707106781186547
"1062","Ezz15Rev","Kum14Jou",0.707106781186547
"1064","Ezz15Rev","Li_16Wor",0.707106781186547
"1066","Ezz15Rev","Mal80Env",0.707106781186547
"1067","Ezz15Rev","Man16Reg",0.707106781186547
"1068","Ezz15Rev","Mir86Urb",0.707106781186547
"1069","Ezz15Rev","Mod15Qua",0.707106781186547
"1071","Ezz15Rev","Mor13Tow",0.707106781186547
"1072","Ezz15Rev","Nau03Jou",0.707106781186547
"1073","Ezz15Rev","Nis08Jou",0.707106781186547
"1074","Ezz15Rev","Oka79Reg",0.707106781186547
"1075","Ezz15Rev","Par83Jou",0.707106781186547
"1076","Ezz15Rev","Par85Jou",0.707106781186547
"1077","Ezz15Rev","Pen10Phy",0.707106781186547
"1078","Ezz15Rev","Pop74Sov",0.707106781186547
"1079","Ezz15Rev","Pum15Cyb",0.707106781186547
"1080","Ezz15Rev","Ros80Jou",0.707106781186547
"1081","Ezz15Rev","Roz11Ame",0.707106781186547
"1082","Ezz15Rev","Sch12Reg",0.707106781186547
"1083","Ezz15Rev","She12Com",0.707106781186547
"1084","Ezz15Rev","Son02Urb",0.707106781186547
"1087","Ezz15Rev","Sua80Jou",0.707106781186547
"1089","Ezz15Rev","XuZ09Urb",0.707106781186547
"1090","Ezz15Rev","Ziq16Asi",0.707106781186547
"1132","Faz15Jou","Ven13Oec",0.707106781186547
"1175","Gab11Jou","Ven13Oec",0.707106781186547
"1179","Gab99Qua","Gan13Eco",0.707106781186547
"1184","Gab99Qua","Hol10Nat",0.707106781186547
"1192","Gab99Qua","LeG08Emp",0.707106781186547
"1199","Gab99Qua","Mor13Tex",0.707106781186547
"1214","Gab99Qua","Soo05Reg",0.707106781186547
"1215","Gab99Qua","Soo07Urb",0.707106781186547
"1217","Gab99Qua","Ven13Oec",0.707106781186547
"1220","Gan06Eco","Gan13Eco",0.707106781186547
"1225","Gan06Eco","Hol10Nat",0.707106781186547
"1233","Gan06Eco","LeG08Emp",0.707106781186547
"1240","Gan06Eco","Mor13Tex",0.707106781186547
"1255","Gan06Eco","Soo05Reg",0.707106781186547
"1256","Gan06Eco","Soo07Urb",0.707106781186547
"1258","Gan06Eco","Ven13Oec",0.707106781186547
"1261","Gan13Eco","Gie10Jou",0.707106781186547
"1262","Gan13Eco","Gon10Jou",0.707106781186547
"1263","Gan13Eco","Gue95Urb",0.707106781186547
"1264","Gan13Eco","Gul12Age",0.707106781186547
"1266","Gan13Eco","Ign15Dis",0.707106781186547
"1267","Gan13Eco","Iye13Eur",0.707106781186547
"1268","Gan13Eco","Kam90Jou",0.707106781186547
"1269","Gan13Eco","Knu01Ame",0.707106781186547
"1270","Gan13Eco","Kra98Urb",0.707106781186547
"1271","Gan13Eco","Kru96Jou",0.707106781186547
"1272","Gan13Eco","Kum14Jou",0.707106781186547
"1274","Gan13Eco","Li_16Wor",0.707106781186547
"1275","Gan13Eco","Luc14Eco",0.707106781186547
"1276","Gan13Eco","Mal80Env",0.707106781186547
"1277","Gan13Eco","Man16Reg",0.707106781186547
"1278","Gan13Eco","Mir86Urb",0.707106781186547
"1281","Gan13Eco","Mor13Tow",0.707106781186547
"1282","Gan13Eco","Nau03Jou",0.707106781186547
"1283","Gan13Eco","Nis08Jou",0.707106781186547
"1284","Gan13Eco","Oka79Reg",0.707106781186547
"1285","Gan13Eco","Par83Jou",0.707106781186547
"1286","Gan13Eco","Par85Jou",0.707106781186547
"1288","Gan13Eco","Pop74Sov",0.707106781186547
"1289","Gan13Eco","Pum15Cyb",0.707106781186547
"1290","Gan13Eco","Ros80Jou",0.707106781186547
"1291","Gan13Eco","Roz11Ame",0.707106781186547
"1293","Gan13Eco","She12Com",0.707106781186547
"1294","Gan13Eco","Son02Urb",0.707106781186547
"1297","Gan13Eco","Sua80Jou",0.707106781186547
"1299","Gan13Eco","XuZ09Urb",0.707106781186547
"1300","Gan13Eco","Ziq16Asi",0.707106781186547
"1304","Gie10Jou","Hol10Nat",0.707106781186547
"1312","Gie10Jou","LeG08Emp",0.707106781186547
"1319","Gie10Jou","Mor13Tex",0.707106781186547
"1334","Gie10Jou","Soo05Reg",0.707106781186547
"1335","Gie10Jou","Soo07Urb",0.707106781186547
"1337","Gie10Jou","Ven13Oec",0.707106781186547
"1342","Gon10Jou","Hol10Nat",0.707106781186547
"1350","Gon10Jou","LeG08Emp",0.707106781186547
"1357","Gon10Jou","Mor13Tex",0.707106781186547
"1372","Gon10Jou","Soo05Reg",0.707106781186547
"1373","Gon10Jou","Soo07Urb",0.707106781186547
"1375","Gon10Jou","Ven13Oec",0.707106781186547
"1379","Gue95Urb","Hol10Nat",0.707106781186547
"1387","Gue95Urb","LeG08Emp",0.707106781186547
"1394","Gue95Urb","Mor13Tex",0.707106781186547
"1409","Gue95Urb","Soo05Reg",0.707106781186547
"1410","Gue95Urb","Soo07Urb",0.707106781186547
"1412","Gue95Urb","Ven13Oec",0.707106781186547
"1415","Gul12Age","Hol10Nat",0.707106781186547
"1423","Gul12Age","LeG08Emp",0.707106781186547
"1430","Gul12Age","Mor13Tex",0.707106781186547
"1445","Gul12Age","Soo05Reg",0.707106781186547
"1446","Gul12Age","Soo07Urb",0.707106781186547
"1448","Gul12Age","Ven13Oec",0.707106781186547
"1451","Hol10Nat","Ign15Dis",0.707106781186547
"1452","Hol10Nat","Iye13Eur",0.707106781186547
"1453","Hol10Nat","Kam90Jou",0.707106781186547
"1454","Hol10Nat","Knu01Ame",0.707106781186547
"1455","Hol10Nat","Kra98Urb",0.707106781186547
"1456","Hol10Nat","Kru96Jou",0.707106781186547
"1457","Hol10Nat","Kum14Jou",0.707106781186547
"1459","Hol10Nat","Li_16Wor",0.707106781186547
"1460","Hol10Nat","Luc14Eco",0.707106781186547
"1461","Hol10Nat","Mal80Env",0.707106781186547
"1462","Hol10Nat","Man16Reg",0.707106781186547
"1463","Hol10Nat","Mir86Urb",0.707106781186547
"1466","Hol10Nat","Mor13Tow",0.707106781186547
"1467","Hol10Nat","Nau03Jou",0.707106781186547
"1468","Hol10Nat","Nis08Jou",0.707106781186547
"1469","Hol10Nat","Oka79Reg",0.707106781186547
"1470","Hol10Nat","Par83Jou",0.707106781186547
"1471","Hol10Nat","Par85Jou",0.707106781186547
"1473","Hol10Nat","Pop74Sov",0.707106781186547
"1474","Hol10Nat","Pum15Cyb",0.707106781186547
"1475","Hol10Nat","Ros80Jou",0.707106781186547
"1476","Hol10Nat","Roz11Ame",0.707106781186547
"1478","Hol10Nat","She12Com",0.707106781186547
"1479","Hol10Nat","Son02Urb",0.707106781186547
"1482","Hol10Nat","Sua80Jou",0.707106781186547
"1484","Hol10Nat","XuZ09Urb",0.707106781186547
"1485","Hol10Nat","Ziq16Asi",0.707106781186547
"1492","Ign15Dis","LeG08Emp",0.707106781186547
"1499","Ign15Dis","Mor13Tex",0.707106781186547
"1514","Ign15Dis","Soo05Reg",0.707106781186547
"1515","Ign15Dis","Soo07Urb",0.707106781186547
"1517","Ign15Dis","Ven13Oec",0.707106781186547
"1525","Iye13Eur","LeG08Emp",0.707106781186547
"1532","Iye13Eur","Mor13Tex",0.707106781186547
"1547","Iye13Eur","Soo05Reg",0.707106781186547
"1548","Iye13Eur","Soo07Urb",0.707106781186547
"1550","Iye13Eur","Ven13Oec",0.707106781186547
"1557","Kam90Jou","LeG08Emp",0.707106781186547
"1564","Kam90Jou","Mor13Tex",0.707106781186547
"1579","Kam90Jou","Soo05Reg",0.707106781186547
"1580","Kam90Jou","Soo07Urb",0.707106781186547
"1582","Kam90Jou","Ven13Oec",0.707106781186547
"1588","Knu01Ame","LeG08Emp",0.707106781186547
"1595","Knu01Ame","Mor13Tex",0.707106781186547
"1610","Knu01Ame","Soo05Reg",0.707106781186547
"1611","Knu01Ame","Soo07Urb",0.707106781186547
"1613","Knu01Ame","Ven13Oec",0.707106781186547
"1618","Kra98Urb","LeG08Emp",0.707106781186547
"1625","Kra98Urb","Mor13Tex",0.707106781186547
"1640","Kra98Urb","Soo05Reg",0.707106781186547
"1641","Kra98Urb","Soo07Urb",0.707106781186547
"1643","Kra98Urb","Ven13Oec",0.707106781186547
"1647","Kru96Jou","LeG08Emp",0.707106781186547
"1654","Kru96Jou","Mor13Tex",0.707106781186547
"1669","Kru96Jou","Soo05Reg",0.707106781186547
"1670","Kru96Jou","Soo07Urb",0.707106781186547
"1672","Kru96Jou","Ven13Oec",0.707106781186547
"1675","Kum14Jou","LeG08Emp",0.707106781186547
"1682","Kum14Jou","Mor13Tex",0.707106781186547
"1697","Kum14Jou","Soo05Reg",0.707106781186547
"1698","Kum14Jou","Soo07Urb",0.707106781186547
"1700","Kum14Jou","Ven13Oec",0.707106781186547
"1703","LeG08Emp","Li_16Wor",0.707106781186547
"1704","LeG08Emp","Luc14Eco",0.707106781186547
"1705","LeG08Emp","Mal80Env",0.707106781186547
"1706","LeG08Emp","Man16Reg",0.707106781186547
"1707","LeG08Emp","Mir86Urb",0.707106781186547
"1710","LeG08Emp","Mor13Tow",0.707106781186547
"1711","LeG08Emp","Nau03Jou",0.707106781186547
"1712","LeG08Emp","Nis08Jou",0.707106781186547
"1713","LeG08Emp","Oka79Reg",0.707106781186547
"1714","LeG08Emp","Par83Jou",0.707106781186547
"1715","LeG08Emp","Par85Jou",0.707106781186547
"1717","LeG08Emp","Pop74Sov",0.707106781186547
"1718","LeG08Emp","Pum15Cyb",0.707106781186547
"1719","LeG08Emp","Ros80Jou",0.707106781186547
"1720","LeG08Emp","Roz11Ame",0.707106781186547
"1722","LeG08Emp","She12Com",0.707106781186547
"1723","LeG08Emp","Son02Urb",0.707106781186547
"1726","LeG08Emp","Sua80Jou",0.707106781186547
"1728","LeG08Emp","XuZ09Urb",0.707106781186547
"1729","LeG08Emp","Ziq16Asi",0.707106781186547
"1735","Li_16Wor","Mor13Tex",0.707106781186547
"1750","Li_16Wor","Soo05Reg",0.707106781186547
"1751","Li_16Wor","Soo07Urb",0.707106781186547
"1753","Li_16Wor","Ven13Oec",0.707106781186547
"1775","Luc14Eco","Soo05Reg",0.707106781186547
"1776","Luc14Eco","Soo07Urb",0.707106781186547
"1784","Mal80Env","Mor13Tex",0.707106781186547
"1799","Mal80Env","Soo05Reg",0.707106781186547
"1800","Mal80Env","Soo07Urb",0.707106781186547
"1802","Mal80Env","Ven13Oec",0.707106781186547
"1807","Man16Reg","Mor13Tex",0.707106781186547
"1822","Man16Reg","Soo05Reg",0.707106781186547
"1823","Man16Reg","Soo07Urb",0.707106781186547
"1825","Man16Reg","Ven13Oec",0.707106781186547
"1829","Mir86Urb","Mor13Tex",0.707106781186547
"1844","Mir86Urb","Soo05Reg",0.707106781186547
"1845","Mir86Urb","Soo07Urb",0.707106781186547
"1847","Mir86Urb","Ven13Oec",0.707106781186547
"1868","Mod15Qua","Ven13Oec",0.707106781186547
"1871","Mor13Tex","Mor13Tow",0.707106781186547
"1872","Mor13Tex","Nau03Jou",0.707106781186547
"1873","Mor13Tex","Nis08Jou",0.707106781186547
"1874","Mor13Tex","Oka79Reg",0.707106781186547
"1875","Mor13Tex","Par83Jou",0.707106781186547
"1876","Mor13Tex","Par85Jou",0.707106781186547
"1878","Mor13Tex","Pop74Sov",0.707106781186547
"1879","Mor13Tex","Pum15Cyb",0.707106781186547
"1880","Mor13Tex","Ros80Jou",0.707106781186547
"1881","Mor13Tex","Roz11Ame",0.707106781186547
"1883","Mor13Tex","She12Com",0.707106781186547
"1884","Mor13Tex","Son02Urb",0.707106781186547
"1887","Mor13Tex","Sua80Jou",0.707106781186547
"1889","Mor13Tex","XuZ09Urb",0.707106781186547
"1890","Mor13Tex","Ziq16Asi",0.707106781186547
"1904","Mor13Tow","Soo05Reg",0.707106781186547
"1905","Mor13Tow","Soo07Urb",0.707106781186547
"1907","Mor13Tow","Ven13Oec",0.707106781186547
"1922","Nau03Jou","Soo05Reg",0.707106781186547
"1923","Nau03Jou","Soo07Urb",0.707106781186547
"1925","Nau03Jou","Ven13Oec",0.707106781186547
"1939","Nis08Jou","Soo05Reg",0.707106781186547
"1940","Nis08Jou","Soo07Urb",0.707106781186547
"1942","Nis08Jou","Ven13Oec",0.707106781186547
"1955","Oka79Reg","Soo05Reg",0.707106781186547
"1956","Oka79Reg","Soo07Urb",0.707106781186547
"1958","Oka79Reg","Ven13Oec",0.707106781186547
"1970","Par83Jou","Soo05Reg",0.707106781186547
"1971","Par83Jou","Soo07Urb",0.707106781186547
"1973","Par83Jou","Ven13Oec",0.707106781186547
"1984","Par85Jou","Soo05Reg",0.707106781186547
"1985","Par85Jou","Soo07Urb",0.707106781186547
"1987","Par85Jou","Ven13Oec",0.707106781186547
"2000","Pen10Phy","Ven13Oec",0.707106781186547
"2009","Pop74Sov","Soo05Reg",0.707106781186547
"2010","Pop74Sov","Soo07Urb",0.707106781186547
"2012","Pop74Sov","Ven13Oec",0.707106781186547
"2020","Pum15Cyb","Soo05Reg",0.707106781186547
"2021","Pum15Cyb","Soo07Urb",0.707106781186547
"2023","Pum15Cyb","Ven13Oec",0.707106781186547
"2030","Ros80Jou","Soo05Reg",0.707106781186547
"2031","Ros80Jou","Soo07Urb",0.707106781186547
"2033","Ros80Jou","Ven13Oec",0.707106781186547
"2039","Roz11Ame","Soo05Reg",0.707106781186547
"2040","Roz11Ame","Soo07Urb",0.707106781186547
"2042","Roz11Ame","Ven13Oec",0.707106781186547
"2050","Sch12Reg","Ven13Oec",0.707106781186547
"2054","She12Com","Soo05Reg",0.707106781186547
"2055","She12Com","Soo07Urb",0.707106781186547
"2057","She12Com","Ven13Oec",0.707106781186547
"2060","Son02Urb","Soo05Reg",0.707106781186547
"2061","Son02Urb","Soo07Urb",0.707106781186547
"2063","Son02Urb","Ven13Oec",0.707106781186547
"2067","Soo05Reg","Sua80Jou",0.707106781186547
"2069","Soo05Reg","XuZ09Urb",0.707106781186547
"2070","Soo05Reg","Ziq16Asi",0.707106781186547
"2071","Soo07Urb","Sua80Jou",0.707106781186547
"2073","Soo07Urb","XuZ09Urb",0.707106781186547
"2074","Soo07Urb","Ziq16Asi",0.707106781186547
"2075","Sua80Jou","Ven13Oec",0.707106781186547
"2078","Ven13Oec","XuZ09Urb",0.707106781186547
"2079","Ven13Oec","Ziq16Asi",0.707106781186547
"137","And05Reg","Cie16Mis",0.5
"140","And05Reg","Del13Eur",0.5
"144","And05Reg","Ezz15Rev",0.5
"169","And05Reg","Mor13Tex",0.5
"187","And05Reg","Ven13Oec",0.5
"714","Cie16Mis","Gan13Eco",0.5
"719","Cie16Mis","Hol10Nat",0.5
"727","Cie16Mis","LeG08Emp",0.5
"734","Cie16Mis","Mor13Tex",0.5
"749","Cie16Mis","Soo05Reg",0.5
"750","Cie16Mis","Soo07Urb",0.5
"864","Del13Eur","Gan13Eco",0.5
"869","Del13Eur","Hol10Nat",0.5
"877","Del13Eur","LeG08Emp",0.5
"884","Del13Eur","Mor13Tex",0.5
"899","Del13Eur","Soo05Reg",0.5
"900","Del13Eur","Soo07Urb",0.5
"1050","Ezz15Rev","Gan13Eco",0.5
"1055","Ezz15Rev","Hol10Nat",0.5
"1063","Ezz15Rev","LeG08Emp",0.5
"1070","Ezz15Rev","Mor13Tex",0.5
"1085","Ezz15Rev","Soo05Reg",0.5
"1086","Ezz15Rev","Soo07Urb",0.5
"1280","Gan13Eco","Mor13Tex",0.5
"1298","Gan13Eco","Ven13Oec",0.5
"1465","Hol10Nat","Mor13Tex",0.5
"1483","Hol10Nat","Ven13Oec",0.5
"1709","LeG08Emp","Mor13Tex",0.5
"1727","LeG08Emp","Ven13Oec",0.5
"1885","Mor13Tex","Soo05Reg",0.5
"1886","Mor13Tex","Soo07Urb",0.5
"1888","Mor13Tex","Ven13Oec",0.5
"2068","Soo05Reg","Ven13Oec",0.5
"2072","Soo07Urb","Ven13Oec",0.5
"16","Alp89Jou","Dim09Urb",0
"20","Alp89Jou","Faz15Jou",0
"21","Alp89Jou","Gab11Jou",0
"39","Alp89Jou","Luc14Eco",0
"43","Alp89Jou","Mod15Qua",0
"51","Alp89Jou","Pen10Phy",0
"56","Alp89Jou","Sch12Reg",0
"79","Ama14Int","Dim09Urb",0
"83","Ama14Int","Faz15Jou",0
"84","Ama14Int","Gab11Jou",0
"102","Ama14Int","Luc14Eco",0
"106","Ama14Int","Mod15Qua",0
"114","Ama14Int","Pen10Phy",0
"119","Ama14Int","Sch12Reg",0
"141","And05Reg","Dim09Urb",0
"145","And05Reg","Faz15Jou",0
"146","And05Reg","Gab11Jou",0
"168","And05Reg","Mod15Qua",0
"176","And05Reg","Pen10Phy",0
"181","And05Reg","Sch12Reg",0
"202","Ara14Eco","Dim09Urb",0
"206","Ara14Eco","Faz15Jou",0
"207","Ara14Eco","Gab11Jou",0
"225","Ara14Eco","Luc14Eco",0
"229","Ara14Eco","Mod15Qua",0
"237","Ara14Eco","Pen10Phy",0
"242","Ara14Eco","Sch12Reg",0
"262","Bat01Urb","Dim09Urb",0
"266","Bat01Urb","Faz15Jou",0
"267","Bat01Urb","Gab11Jou",0
"285","Bat01Urb","Luc14Eco",0
"289","Bat01Urb","Mod15Qua",0
"297","Bat01Urb","Pen10Phy",0
"302","Bat01Urb","Sch12Reg",0
"321","Ber12Cit","Dim09Urb",0
"325","Ber12Cit","Faz15Jou",0
"326","Ber12Cit","Gab11Jou",0
"344","Ber12Cit","Luc14Eco",0
"348","Ber12Cit","Mod15Qua",0
"356","Ber12Cit","Pen10Phy",0
"361","Ber12Cit","Sch12Reg",0
"379","Bla03Jou","Dim09Urb",0
"383","Bla03Jou","Faz15Jou",0
"384","Bla03Jou","Gab11Jou",0
"402","Bla03Jou","Luc14Eco",0
"406","Bla03Jou","Mod15Qua",0
"414","Bla03Jou","Pen10Phy",0
"419","Bla03Jou","Sch12Reg",0
"436","Bos08Reg","Dim09Urb",0
"440","Bos08Reg","Faz15Jou",0
"441","Bos08Reg","Gab11Jou",0
"459","Bos08Reg","Luc14Eco",0
"463","Bos08Reg","Mod15Qua",0
"471","Bos08Reg","Pen10Phy",0
"476","Bos08Reg","Sch12Reg",0
"492","Bra99Jou","Dim09Urb",0
"496","Bra99Jou","Faz15Jou",0
"497","Bra99Jou","Gab11Jou",0
"515","Bra99Jou","Luc14Eco",0
"519","Bra99Jou","Mod15Qua",0
"527","Bra99Jou","Pen10Phy",0
"532","Bra99Jou","Sch12Reg",0
"547","Bre00Cyb","Dim09Urb",0
"551","Bre00Cyb","Faz15Jou",0
"552","Bre00Cyb","Gab11Jou",0
"570","Bre00Cyb","Luc14Eco",0
"574","Bre00Cyb","Mod15Qua",0
"582","Bre00Cyb","Pen10Phy",0
"587","Bre00Cyb","Sch12Reg",0
"601","Bre15Int","Dim09Urb",0
"605","Bre15Int","Faz15Jou",0
"606","Bre15Int","Gab11Jou",0
"624","Bre15Int","Luc14Eco",0
"628","Bre15Int","Mod15Qua",0
"636","Bre15Int","Pen10Phy",0
"641","Bre15Int","Sch12Reg",0
"654","Cam90Jou","Dim09Urb",0
"658","Cam90Jou","Faz15Jou",0
"659","Cam90Jou","Gab11Jou",0
"677","Cam90Jou","Luc14Eco",0
"681","Cam90Jou","Mod15Qua",0
"689","Cam90Jou","Pen10Phy",0
"694","Cam90Jou","Sch12Reg",0
"729","Cie16Mis","Luc14Eco",0
"757","Cra05Con","Dim09Urb",0
"761","Cra05Con","Faz15Jou",0
"762","Cra05Con","Gab11Jou",0
"780","Cra05Con","Luc14Eco",0
"784","Cra05Con","Mod15Qua",0
"792","Cra05Con","Pen10Phy",0
"797","Cra05Con","Sch12Reg",0
"807","Del04Con","Dim09Urb",0
"811","Del04Con","Faz15Jou",0
"812","Del04Con","Gab11Jou",0
"830","Del04Con","Luc14Eco",0
"834","Del04Con","Mod15Qua",0
"842","Del04Con","Pen10Phy",0
"847","Del04Con","Sch12Reg",0
"879","Del13Eur","Luc14Eco",0
"905","Dim09Urb","Eec04The",0
"906","Dim09Urb","Ett87Env",0
"910","Dim09Urb","Gab99Qua",0
"911","Dim09Urb","Gan06Eco",0
"912","Dim09Urb","Gan13Eco",0
"913","Dim09Urb","Gie10Jou",0
"914","Dim09Urb","Gon10Jou",0
"915","Dim09Urb","Gue95Urb",0
"916","Dim09Urb","Gul12Age",0
"917","Dim09Urb","Hol10Nat",0
"918","Dim09Urb","Ign15Dis",0
"919","Dim09Urb","Iye13Eur",0
"920","Dim09Urb","Kam90Jou",0
"921","Dim09Urb","Knu01Ame",0
"922","Dim09Urb","Kra98Urb",0
"923","Dim09Urb","Kru96Jou",0
"924","Dim09Urb","Kum14Jou",0
"925","Dim09Urb","LeG08Emp",0
"926","Dim09Urb","Li_16Wor",0
"927","Dim09Urb","Luc14Eco",0
"928","Dim09Urb","Mal80Env",0
"929","Dim09Urb","Man16Reg",0
"930","Dim09Urb","Mir86Urb",0
"932","Dim09Urb","Mor13Tex",0
"933","Dim09Urb","Mor13Tow",0
"934","Dim09Urb","Nau03Jou",0
"935","Dim09Urb","Nis08Jou",0
"936","Dim09Urb","Oka79Reg",0
"937","Dim09Urb","Par83Jou",0
"938","Dim09Urb","Par85Jou",0
"940","Dim09Urb","Pop74Sov",0
"941","Dim09Urb","Pum15Cyb",0
"942","Dim09Urb","Ros80Jou",0
"943","Dim09Urb","Roz11Ame",0
"945","Dim09Urb","She12Com",0
"946","Dim09Urb","Son02Urb",0
"947","Dim09Urb","Soo05Reg",0
"948","Dim09Urb","Soo07Urb",0
"949","Dim09Urb","Sua80Jou",0
"951","Dim09Urb","XuZ09Urb",0
"952","Dim09Urb","Ziq16Asi",0
