"","Alp89Jou.txt","Ama14Int.txt","And05Reg.txt","Ara14Eco.txt","Arr12Reg.txt","Bat01Urb.txt","Ben07Com.txt","Ber12Cit.txt","Bla03Jou.txt","Bos08Reg.txt","Bra99Jou.txt","Bre00Cyb.txt","Bre15Int.txt","Cam90Jou.txt","Cie16Mis.txt","Cra05Con.txt","Del04Con.txt","Del13Eur.txt","Dim09Urb.txt","Eec04The.txt","Ett87Env.txt","Ezz15Rev.txt","Faz15Jou.txt","Gab11Jou.txt","Gab99Qua.txt","Gan06Eco.txt","Gan13Eco.txt","Gie10Jou.txt","Gon10Jou.txt","Gue95Urb.txt","Gul12Age.txt","Hol10Nat.txt","Ign15Dis.txt","Iye13Eur.txt","Kam90Jou.txt","Knu01Ame.txt","Kru96Jou.txt","Kum14Jou.txt","LeG08Emp.txt","Li_16Wor.txt","Luc14Eco.txt","Mal80Env.txt","Man16Reg.txt","Mir86Urb.txt","Mod15Qua.txt","Mor13Tex.txt","Mor13Tow.txt","Nau03Jou.txt","Nis08Jou.txt","Oka79Reg.txt","Par83Jou.txt","Par85Jou.txt","Pen10Phy.txt","Pop74Sov.txt","Pum15Cyb.txt","Ros80Jou.txt","Roz11Ame.txt","Sch12Reg.txt","She12Com.txt","Son02Urb.txt","Soo05Reg.txt","Soo07Urb.txt","Sua80Jou.txt","Ven13Oec.txt","XuZ09Urb.txt","Ziq16Asi.txt"
"pioneering",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"plains",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"points",0,3,3,0,11,2,0,1,5,3,1,1,2,0,0,0,2,0,2,2,3,0,10,0,0,0,1,0,4,0,0,0,0,1,1,2,0,4,2,3,0,3,0,1,1,1,0,2,5,2,6,2,0,0,1,2,6,1,5,1,1,1,1,1,3,0
"policies",0,1,2,2,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,3,0,0,1,0,0,0,6,0,1,0,4,0,1,6,0,0,0,0,0,0,4,0,0,1,0,0,6,2,0,0,0,2,0,0,0,0,0,5,12,1,0,0,0,0,8,0
"policy",0,3,10,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,3,0,3,0,0,0,3,0,1,1,0,1,0,0,0,9,12,1,0,0,0,0,4,3,0,0,0,4,0,0,1,2,0,1,6,11,1,1,0,1,3,0
"populous",0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,1,0,2,0,0,0,0,0,0,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0
"portion",0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0
"positive",0,4,0,3,11,11,2,0,2,0,4,0,1,1,0,6,7,6,2,16,1,0,1,2,5,0,0,0,0,7,2,0,11,1,2,0,0,4,3,0,0,3,0,1,1,2,0,3,0,5,4,0,0,0,1,2,4,0,11,1,4,8,1,2,4,0
"predicted",0,2,1,0,0,1,0,3,5,4,5,0,0,1,4,0,5,3,2,0,0,2,1,0,1,0,0,0,0,2,0,0,1,1,0,8,1,0,0,5,3,0,16,0,1,0,2,1,1,0,0,0,0,0,0,2,1,3,2,2,3,4,1,0,1,1
"primacy",0,1,0,0,0,1,0,0,0,0,0,5,0,0,0,15,5,0,0,0,4,2,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,0,0,0,0,0,1,1,34,0,0,1,3,0,2,3,1,0,1
"principle",0,1,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,1,0,3,0,1,2,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,5,0,0,0,0,0,1,1,0
"process",0,1,24,7,4,17,3,6,17,7,13,26,8,2,0,0,13,6,9,19,0,0,1,0,20,1,4,7,7,8,7,1,21,4,1,32,12,5,27,1,5,0,0,0,30,5,3,5,0,0,9,8,2,2,10,1,1,12,1,0,0,2,0,0,8,0
"processes",0,2,7,2,4,4,11,3,3,0,2,4,3,0,0,0,1,0,0,1,5,1,0,5,14,0,0,2,1,1,4,0,3,1,0,2,0,0,5,1,0,0,2,0,7,1,1,0,0,0,3,2,0,0,10,0,0,3,0,2,0,0,0,0,2,0
"produces",0,1,2,0,1,2,0,2,0,0,2,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,1,13,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"profile",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"promote",0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"quantitative",0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"questions",0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,2,2,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"ranking",0,5,1,0,0,1,0,1,1,0,0,1,0,0,1,0,2,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,2,3,0,1,0,0,0,1,0,0,2,0
"rate",0,4,14,14,9,9,9,2,6,16,0,2,2,0,0,0,7,28,9,18,3,12,0,0,35,0,14,14,4,2,9,5,27,2,0,11,1,8,1,0,1,25,0,2,5,1,0,13,0,0,23,0,0,0,6,1,1,5,6,5,2,2,0,0,16,0
"rationales",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"realities",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"recent",0,2,1,3,2,0,1,2,8,2,2,7,3,2,6,3,4,1,3,1,0,1,2,2,2,0,1,2,0,3,1,2,2,2,0,0,4,1,1,1,8,3,0,1,2,3,0,3,0,0,0,2,2,1,5,2,3,8,4,3,2,0,0,1,6,4
"recognized",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"redefined",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"redefining",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"referred",0,1,0,0,0,2,0,0,0,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,4,1,0,2,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"region",0,1,5,5,1,2,1,1,0,0,1,1,2,3,3,0,0,0,5,0,0,2,0,0,11,0,3,13,1,0,0,2,15,31,1,1,0,5,1,0,0,1,4,3,0,4,21,0,1,10,0,0,0,0,0,0,1,3,60,2,0,2,6,4,1,2
