"","i","j","cosSimTerm"
"1038","Dim09Urb.txt","Li_16Wor.txt",0.622577276994744
"862","Cie16Mis.txt","Sch12Reg.txt",0.622485767548973
"321","Bat01Urb.txt","Bre00Cyb.txt",0.622458596555471
"1818","Li_16Wor.txt","Ven13Oec.txt",0.622346039742059
"1526","Gul12Age.txt","Mal80Env.txt",0.621592956599499
"200","Ara14Eco.txt","Bre00Cyb.txt",0.621397200716067
"2004","Nis08Jou.txt","Soo05Reg.txt",0.62112627860317
"503","Bla03Jou.txt","Eec04The.txt",0.620904338906064
"1477","Gon10Jou.txt","Ven13Oec.txt",0.62081285329936
"585","Bos08Reg.txt","Mor13Tex.txt",0.620446254008357
"424","Ben07Com.txt","Ros80Jou.txt",0.62030242386635
"1550","Gul12Age.txt","Ziq16Asi.txt",0.62016379729192
"616","Bra99Jou.txt","Ezz15Rev.txt",0.620120158031901
"206","Ara14Eco.txt","Del13Eur.txt",0.619953562845388
"1020","Dim09Urb.txt","Ezz15Rev.txt",0.619651187114298
"1931","Mod15Qua.txt","Soo07Urb.txt",0.619612222421916
"1037","Dim09Urb.txt","LeG08Emp.txt",0.618860188232283
"1170","Ezz15Rev.txt","Kru96Jou.txt",0.618381760946196
"406","Ben07Com.txt","Kum14Jou.txt",0.618295437029901
"244","Ara14Eco.txt","Ros80Jou.txt",0.618280924016294
"756","Bre15Int.txt","Pum15Cyb.txt",0.617680776002758
"936","Del04Con.txt","Ign15Dis.txt",0.617671135478225
"1302","Gab99Qua.txt","Man16Reg.txt",0.61744572836754
"1060","Dim09Urb.txt","Soo07Urb.txt",0.616270117784969
"493","Bla03Jou.txt","Bos08Reg.txt",0.616087281912194
"387","Ben07Com.txt","Dim09Urb.txt",0.616068054956195
"1092","Eec04The.txt","Nau03Jou.txt",0.615940507008505
"516","Bla03Jou.txt","Ign15Dis.txt",0.615649060322242
"628","Bra99Jou.txt","Iye13Eur.txt",0.614530114088611
"1147","Ett87Env.txt","Sch12Reg.txt",0.613289197757282
"981","Del13Eur.txt","Gue95Urb.txt",0.613194924757249
"633","Bra99Jou.txt","LeG08Emp.txt",0.612852628347264
"948","Del04Con.txt","Mod15Qua.txt",0.612565851731328
"980","Del13Eur.txt","Gon10Jou.txt",0.612521431837562
"1416","Gie10Jou.txt","Li_16Wor.txt",0.612502469916893
"1176","Ezz15Rev.txt","Man16Reg.txt",0.612097105763348
"1087","Eec04The.txt","Man16Reg.txt",0.612033933548108
