"","i","j","cosSim"
"725","Gue95Urb","Del04Con",0.125988157669742
"2059","Ama14Int","Ezz15Rev",0.125988157669742
"198","Ros80Jou","Alp89Jou",0.125988157669742
"553","Alp89Jou","Kru96Jou",0.125988157669742
"1969","Del13Eur","Mod15Qua",0.125436301501064
"1301","Eec04The","Arr12Reg",0.12524485821703
"1884","Ber12Cit","Ezz15Rev",0.12515654358044
"1166","Bla03Jou","Nis08Jou",0.125
"1315","Eec04The","Luc14Eco",0.124783549621155
"1666","XuZ09Urb","Ven13Oec",0.124783549621155
"1670","XuZ09Urb","Luc14Eco",0.124783549621155
"1679","XuZ09Urb","Man16Reg",0.124783549621155
"70","Oka79Reg","Par85Jou",0.12469593727771
"895","Bra99Jou","Roz11Ame",0.12456821978061
"901","Bra99Jou","Del13Eur",0.124034734589208
"804","Kru96Jou","Mor13Tow",0.123796892118035
"1592","Nis08Jou","Roz11Ame",0.123796892118035
"1561","LeG08Emp","Ber12Cit",0.123737644977949
"1568","LeG08Emp","Mor13Tex",0.123737644977949
"1538","Bos08Reg","Ara14Eco",0.123266710272273
"443","Mir86Urb","Gab99Qua",0.123208220726739
"968","Gab99Qua","Man16Reg",0.123208220726739
"441","Mir86Urb","Kra98Urb",0.122988009253618
"1383","Cra05Con","Sch12Reg",0.122627867896993
"957","Gab99Qua","Ara14Eco",0.122205929184461
"1340","And05Reg","Roz11Ame",0.121914962273543
"429","Par85Jou","Mod15Qua",0.121828980774635
"1247","Del04Con","Gan06Eco",0.121716123890037
"1169","Bla03Jou","Gie10Jou",0.121666065848072
"66","Oka79Reg","Mal80Env",0.121566134770966
"139","Mal80Env","Gue95Urb",0.121566134770966
"1500","Soo07Urb","Mor13Tow",0.121566134770966
"1307","Eec04The","Gan13Eco",0.121267812518166
"1648","Dim09Urb","Man16Reg",0.121267812518166
"1662","XuZ09Urb","Gan13Eco",0.121267812518166
"481","Mir86Urb","Kum14Jou",0.121267812518166
"1158","Bla03Jou","Eec04The",0.121267812518166
"2043","Ven13Oec","Kum14Jou",0.121267812518166
"1558","LeG08Emp","Gab11Jou",0.120604537831105
"931","Gab99Qua","Soo05Reg",0.12000384018433
"1821","Roz11Ame","Arr12Reg",0.119865825371346
"936","Gab99Qua","Nis08Jou",0.11973686801785
"568","Alp89Jou","Gan06Eco",0.119522860933439
"882","Bra99Jou","Soo05Reg",0.119522860933439
"1658","XuZ09Urb","Gul12Age",0.119416286805306
"317","Par83Jou","Mir86Urb",0.119416286805306
"1535","Bos08Reg","Mor13Tow",0.118940206690011
"1211","Nau03Jou","XuZ09Urb",0.118912873538624
"909","Bra99Jou","Kum14Jou",0.118585412256314
"917","Bra99Jou","Cie16Mis",0.118585412256314
"1072","Knu01Ame","Soo05Reg",0.118216560935865
"1921","Sch12Reg","Ven13Oec",0.118033421304695
"1934","Sch12Reg","Man16Reg",0.118033421304695
"1302","Eec04The","Ber12Cit",0.118033421304695
"1309","Eec04The","Mor13Tex",0.118033421304695
"1664","XuZ09Urb","Mor13Tex",0.118033421304695
"1989","Gan13Eco","Cie16Mis",0.117851130197758
"1167","Bla03Jou","Dim09Urb",0.117851130197758
"1576","LeG08Emp","Ezz15Rev",0.1176979772673
"478","Mir86Urb","Ven13Oec",0.117647058823529
"2044","Ven13Oec","Luc14Eco",0.117647058823529
"2053","Ven13Oec","Man16Reg",0.117647058823529
"880","Bra99Jou","And05Reg",0.117444043902941
"1562","LeG08Emp","Gul12Age",0.117363131703255
"1571","LeG08Emp","Ama14Int",0.116774841624228
"1864","Arr12Reg","Mod15Qua",0.116774841624228
"1786","Pen10Phy","Ezz15Rev",0.116642368703961
"1752","Hol10Nat","Mor13Tow",0.116160463899355
"797","Kru96Jou","Gul12Age",0.116051770637132
"1163","Bla03Jou","Soo07Urb",0.115727512471569
"906","Bra99Jou","Ven13Oec",0.115044748327106
"1521","Bos08Reg","Gon10Jou",0.11503946170861
"1579","LeG08Emp","Mod15Qua",0.114991914915214
"1041","Bat01Urb","Ber12Cit",0.114707866935281
"1178","Bla03Jou","Sch12Reg",0.114707866935281
"2014","Mor13Tex","Kum14Jou",0.114707866935281
"459","Mir86Urb","Nis08Jou",0.114332390095006
"1607","Nis08Jou","Luc14Eco",0.114332390095006
"778","Kru96Jou","Eec04The",0.114332390095006
"788","Kru96Jou","XuZ09Urb",0.114332390095006
"1760","Hol10Nat","Faz15Jou",0.114208048144032
"940","Gab99Qua","Gon10Jou",0.11404948083654
"1906","Gul12Age","Ezz15Rev",0.113960576459638
"611","Cam90Jou","Gab99Qua",0.113592366849413
"1450","Gan06Eco","Gon10Jou",0.113592366849413
"1265","Del04Con","Del13Eur",0.11322770341446
"1164","Bla03Jou","Bos08Reg",0.11322770341446
"870","Kra98Urb","Ziq16Asi",0.112687233963802
"1081","Knu01Ame","Gon10Jou",0.112350882940971
"88","Oka79Reg","Eec04The",0.112272178284768
"1672","XuZ09Urb","Ezz15Rev",0.112272178284768
"925","Gab99Qua","Bla03Jou",0.112253313766734
"887","Bra99Jou","Nis08Jou",0.111803398874989
"876","Bra99Jou","Bla03Jou",0.111803398874989
"1528","Bos08Reg","Gul12Age",0.111498934667612
"1083","Knu01Ame","Pen10Phy",0.111455642515071
"1740","Hol10Nat","Pen10Phy",0.111455642515071
"1024","Bat01Urb","And05Reg",0.111417202906231
"1700","Gie10Jou","Luc14Eco",0.111282976814931
"2024","Mor13Tex","Man16Reg",0.111282976814931
"1599","Nis08Jou","Gan13Eco",0.111111111111111
"254","Ros80Jou","Ziq16Asi",0.111111111111111
"2055","Ama14Int","Ara14Eco",0.111111111111111
"1339","And05Reg","Gab11Jou",0.110727306471653
"1805","Gab11Jou","Mor13Tow",0.110727306471653
"898","Bra99Jou","Gul12Age",0.110096376512636
"1278","Del04Con","Ign15Dis",0.109971479845643
"1675","XuZ09Urb","Mod15Qua",0.10969086361907
"1959","Del13Eur","Mor13Tow",0.109253556109384
"118","Oka79Reg","Kum14Jou",0.109108945117996
"126","Oka79Reg","Cie16Mis",0.109108945117996
"1429","Soo05Reg","Ama14Int",0.109108945117996
"2082","Kum14Jou","Ezz15Rev",0.109108945117996
"1088","Knu01Ame","Gul12Age",0.108893101296094
"890","Bra99Jou","Gie10Jou",0.108821437516502
"897","Bra99Jou","Ber12Cit",0.108821437516502
"1288","Eec04The","Gan06Eco",0.108465228909328
"1448","Gan06Eco","XuZ09Urb",0.108465228909328
"1601","Nis08Jou","Mor13Tex",0.108147614087175
"378","Par85Jou","Alp89Jou",0.107989849431208
"1035","Bat01Urb","Gon10Jou",0.107763181216065
"1967","Del13Eur","Faz15Jou",0.107417231105915
"1069","Knu01Ame","Eec04The",0.107279780977823
"1079","Knu01Ame","XuZ09Urb",0.107279780977823
"179","Mal80Env","Ama14Int",0.107211253483779
"1713","Gon10Jou","Gab11Jou",0.107095910520333
"2085","Kum14Jou","Mod15Qua",0.106600358177805
"394","Par85Jou","And05Reg",0.106111621815458
"115","Oka79Reg","Ven13Oec",0.105851224804993
"456","Mir86Urb","Soo07Urb",0.105851224804993
"484","Mir86Urb","Ezz15Rev",0.105851224804993
"1505","Soo07Urb","Luc14Eco",0.105851224804993
"2046","Ven13Oec","Ezz15Rev",0.105851224804993
"2116","Ezz15Rev","Man16Reg",0.105851224804993
