"","i","j","diff_mean"
"776","Cra05Con","Kru96Jou",0.0486206302326099
"386","Bla03Jou","Gan06Eco",0.0489033140268221
"1437","Gul12Age","Pen10Phy",0.0489957603028869
"924","Dim09Urb","Kum14Jou",0.0490707541344906
"434","Bos08Reg","Del04Con",0.0492273916545677
"1419","Gul12Age","Knu01Ame",0.0493408188242787
"1110","Faz15Jou","Mal80Env",0.0494268793765611
"756","Cra05Con","Del13Eur",0.0495889079474766
"763","Cra05Con","Gab99Qua",0.049592863115847
"625","Bre15Int","Mal80Env",0.0497164542564384
"581","Bre00Cyb","Par85Jou",0.0498946728028441
"853","Del04Con","Ven13Oec",0.0502106058800402
"2058","She12Com","XuZ09Urb",0.0502998612416952
"304","Bat01Urb","Son02Urb",0.0503508607640861
"1220","Gan06Eco","Gan13Eco",0.0503575879944891
"72","Ama14Int","Bre00Cyb",0.0503940711144521
"651","Cam90Jou","Cra05Con",0.050565095999084
"560","Bre00Cyb","Hol10Nat",0.0506755580957722
"96","Ama14Int","Knu01Ame",0.0512042651838163
"1601","Knu01Ame","Par85Jou",0.0517036634954244
"1941","Nis08Jou","Sua80Jou",0.0518171438416561
"1545","Iye13Eur","She12Com",0.0519790380748392
"1049","Ezz15Rev","Gan06Eco",0.0521438079786521
"1965","Par83Jou","Ros80Jou",0.0522459432729989
"559","Bre00Cyb","Gul12Age",0.0522575174739897
"1788","Mal80Env","Oka79Reg",0.0523679984834486
"375","Bla03Jou","Cie16Mis",0.052549187338961
"348","Ber12Cit","Mod15Qua",0.0526750259922876
"1808","Man16Reg","Mor13Tow",0.0527687808406623
"1653","Kru96Jou","Mod15Qua",0.0529991036200332
"800","Cra05Con","Soo05Reg",0.0531858803636847
"1428","Gul12Age","Mir86Urb",0.0532297503572269
"900","Del13Eur","Soo07Urb",0.0532724185473268
"1898","Mor13Tow","Pum15Cyb",0.053472808578036
"1741","Li_16Wor","Par85Jou",0.0535083406576675
"1501","Ign15Dis","Nau03Jou",0.053737963000737
"1472","Hol10Nat","Pen10Phy",0.053937315266875
"1198","Gab99Qua","Mod15Qua",0.0539713365032703
"714","Cie16Mis","Gan13Eco",0.0540034613066281
"101","Ama14Int","Li_16Wor",0.0540077389692755
"254","Bat01Urb","Bra99Jou",0.0540237405452038
"884","Del13Eur","Mor13Tex",0.0542447721818879
"477","Bos08Reg","She12Com",0.0543184238257415
"816","Del04Con","Gie10Jou",0.0543721239950303
"1951","Oka79Reg","Roz11Ame",0.0544450414612731
"1141","Gab11Jou","Gul12Age",0.0545723573017987
"1267","Gan13Eco","Iye13Eur",0.0548866216159181
"681","Cam90Jou","Mod15Qua",0.0549435693865073
"360","Ber12Cit","Roz11Ame",0.0550931967167644
"105","Ama14Int","Mir86Urb",0.0550931967167645
"16","Alp89Jou","Dim09Urb",0.0551079275180256
"1134","Faz15Jou","Ziq16Asi",0.0553180849381816
"1665","Kru96Jou","Roz11Ame",0.05541727434451
"1835","Mir86Urb","Par85Jou",0.0555925950283726
"1676","Kum14Jou","Li_16Wor",0.0556655315536559
"1424","Gul12Age","Li_16Wor",0.0558711853288132
"1409","Gue95Urb","Soo05Reg",0.0559562468504297
"1166","Gab11Jou","Pum15Cyb",0.0560191331664123
"394","Bla03Jou","Iye13Eur",0.0563408955835852
"1210","Gab99Qua","Roz11Ame",0.0563895072277471
"84","Ama14Int","Gab11Jou",0.0564358036613363
"33","Alp89Jou","Knu01Ame",0.0566988540542316
"1154","Gab11Jou","Man16Reg",0.056723160903786
"154","And05Reg","Hol10Nat",0.0568169400571207
"1854","Mod15Qua","Oka79Reg",0.0568632121857499
"1569","Kam90Jou","Par83Jou",0.056905085271888
"1163","Gab11Jou","Par85Jou",0.0569352019729444
"996","Eec04The","Sua80Jou",0.0570376624832384
"822","Del04Con","Iye13Eur",0.057070070246013
"1992","Pen10Phy","Ros80Jou",0.0570861267955379
"1413","Gue95Urb","XuZ09Urb",0.0573131284668222
"693","Cam90Jou","Roz11Ame",0.0573617401109841
"1838","Mir86Urb","Pum15Cyb",0.0573617401109841
"1125","Faz15Jou","Roz11Ame",0.0573861605681606
"378","Bla03Jou","Del13Eur",0.0574243687282936
"1865","Mod15Qua","Soo05Reg",0.057564353751108
"976","Eec04The","Man16Reg",0.0579540228845931
"944","Dim09Urb","Sch12Reg",0.0580098953664755
"1805","Man16Reg","Mir86Urb",0.0580657678483578
"750","Cie16Mis","Soo07Urb",0.0581475999366594
"1960","Oka79Reg","Ziq16Asi",0.0582592040450691
"665","Cam90Jou","Gue95Urb",0.0585770312150304
"988","Eec04The","Pum15Cyb",0.0586580506219668
"1470","Hol10Nat","Par83Jou",0.058777498789414
