"","i","j","diff_n"
"1061","Ezz15Rev","Kru96Jou",1.61347517730496
"1072","Ezz15Rev","Nau03Jou",1.61347517730496
"1074","Ezz15Rev","Oka79Reg",1.61347517730496
"1087","Ezz15Rev","Sua80Jou",1.61347517730496
"1132","Faz15Jou","Ven13Oec",1.61347517730496
"1149","Gab11Jou","Kum14Jou",1.61347517730496
"1164","Gab11Jou","Pen10Phy",1.61347517730496
"1191","Gab99Qua","Kum14Jou",1.61347517730496
"1206","Gab99Qua","Pen10Phy",1.61347517730496
"1517","Ign15Dis","Ven13Oec",1.61347517730496
"1587","Knu01Ame","Kum14Jou",1.61347517730496
"1602","Knu01Ame","Pen10Phy",1.61347517730496
"1646","Kru96Jou","Kum14Jou",1.61347517730496
"1661","Kru96Jou","Pen10Phy",1.61347517730496
"1684","Kum14Jou","Nau03Jou",1.61347517730496
"1686","Kum14Jou","Oka79Reg",1.61347517730496
"1699","Kum14Jou","Sua80Jou",1.61347517730496
"1792","Mal80Env","Pop74Sov",1.61347517730496
"1798","Mal80Env","Son02Urb",1.61347517730496
"1828","Mir86Urb","Mod15Qua",1.61347517730496
"1914","Nau03Jou","Pen10Phy",1.61347517730496
"1930","Nis08Jou","Par85Jou",1.61347517730496
"1947","Oka79Reg","Pen10Phy",1.61347517730496
"1999","Pen10Phy","Sua80Jou",1.61347517730496
"2073","Soo07Urb","XuZ09Urb",1.61347517730496
"308","Bat01Urb","Ven13Oec",1.65957446808511
"417","Bla03Jou","Ros80Jou",1.65957446808511
"571","Bre00Cyb","Mal80Env",1.65957446808511
"845","Del04Con","Ros80Jou",1.65957446808511
"902","Del13Eur","Ven13Oec",1.65957446808511
"1113","Faz15Jou","Mod15Qua",1.65957446808511
"1276","Gan13Eco","Mal80Env",1.65957446808511
"1315","Gie10Jou","Mal80Env",1.65957446808511
"1498","Ign15Dis","Mod15Qua",1.65957446808511
"1542","Iye13Eur","Ros80Jou",1.65957446808511
"1781","Mal80Env","Man16Reg",1.65957446808511
"1880","Mor13Tex","Ros80Jou",1.65957446808511
"2013","Pop74Sov","XuZ09Urb",1.65957446808511
"2064","Son02Urb","XuZ09Urb",1.65957446808511
"2072","Soo07Urb","Ven13Oec",1.65957446808511
"289","Bat01Urb","Mod15Qua",1.70567375886525
"594","Bre00Cyb","XuZ09Urb",1.70567375886525
"883","Del13Eur","Mod15Qua",1.70567375886525
"1299","Gan13Eco","XuZ09Urb",1.70567375886525
"1338","Gie10Jou","XuZ09Urb",1.70567375886525
"1400","Gue95Urb","Par85Jou",1.70567375886525
"1793","Mal80Env","Pum15Cyb",1.70567375886525
"1826","Man16Reg","XuZ09Urb",1.70567375886525
"1866","Mod15Qua","Soo07Urb",1.70567375886525
"1961","Par83Jou","Par85Jou",1.70567375886525
"1981","Par85Jou","Sch12Reg",1.70567375886525
"2012","Pop74Sov","Ven13Oec",1.70567375886525
"2063","Son02Urb","Ven13Oec",1.70567375886525
"103","Ama14Int","Mal80Env",1.75177304964539
"593","Bre00Cyb","Ven13Oec",1.75177304964539
"625","Bre15Int","Mal80Env",1.75177304964539
"730","Cie16Mis","Mal80Env",1.75177304964539
"975","Eec04The","Mal80Env",1.75177304964539
"1021","Ett87Env","Mal80Env",1.75177304964539
"1298","Gan13Eco","Ven13Oec",1.75177304964539
"1337","Gie10Jou","Ven13Oec",1.75177304964539
"1621","Kra98Urb","Mal80Env",1.75177304964539
"1825","Man16Reg","Ven13Oec",1.75177304964539
"1858","Mod15Qua","Pop74Sov",1.75177304964539
"1864","Mod15Qua","Son02Urb",1.75177304964539
"2024","Pum15Cyb","XuZ09Urb",1.75177304964539
"50","Alp89Jou","Par85Jou",1.79787234042553
"126","Ama14Int","XuZ09Urb",1.79787234042553
"574","Bre00Cyb","Mod15Qua",1.79787234042553
"648","Bre15Int","XuZ09Urb",1.79787234042553
"753","Cie16Mis","XuZ09Urb",1.79787234042553
"998","Eec04The","XuZ09Urb",1.79787234042553
"1044","Ett87Env","XuZ09Urb",1.79787234042553
"1279","Gan13Eco","Mod15Qua",1.79787234042553
"1318","Gie10Jou","Mod15Qua",1.79787234042553
"1570","Kam90Jou","Par85Jou",1.79787234042553
"1644","Kra98Urb","XuZ09Urb",1.79787234042553
"1715","LeG08Emp","Par85Jou",1.79787234042553
"1806","Man16Reg","Mod15Qua",1.79787234042553
"2023","Pum15Cyb","Ven13Oec",1.79787234042553
"125","Ama14Int","Ven13Oec",1.84397163120567
"179","And05Reg","Ros80Jou",1.84397163120567
"647","Bre15Int","Ven13Oec",1.84397163120567
"752","Cie16Mis","Ven13Oec",1.84397163120567
"997","Eec04The","Ven13Oec",1.84397163120567
"1043","Ett87Env","Ven13Oec",1.84397163120567
"1236","Gan06Eco","Mal80Env",1.84397163120567
"1426","Gul12Age","Mal80Env",1.84397163120567
"1643","Kra98Urb","Ven13Oec",1.84397163120567
"1731","Li_16Wor","Mal80Env",1.84397163120567
"1859","Mod15Qua","Pum15Cyb",1.84397163120567
"2028","Ros80Jou","She12Com",1.84397163120567
"106","Ama14Int","Mod15Qua",1.89007092198582
"345","Ber12Cit","Mal80Env",1.89007092198582
"413","Bla03Jou","Par85Jou",1.89007092198582
"460","Bos08Reg","Mal80Env",1.89007092198582
"516","Bra99Jou","Mal80Env",1.89007092198582
"628","Bre15Int","Mod15Qua",1.89007092198582
"733","Cie16Mis","Mod15Qua",1.89007092198582
"841","Del04Con","Par85Jou",1.89007092198582
"928","Dim09Urb","Mal80Env",1.89007092198582
"978","Eec04The","Mod15Qua",1.89007092198582
"1024","Ett87Env","Mod15Qua",1.89007092198582
"1259","Gan06Eco","XuZ09Urb",1.89007092198582
"1449","Gul12Age","XuZ09Urb",1.89007092198582
"1538","Iye13Eur","Par85Jou",1.89007092198582
"1624","Kra98Urb","Mod15Qua",1.89007092198582
"1754","Li_16Wor","XuZ09Urb",1.89007092198582
"1876","Mor13Tex","Par85Jou",1.89007092198582
"368","Ber12Cit","XuZ09Urb",1.93617021276596
"483","Bos08Reg","XuZ09Urb",1.93617021276596
"539","Bra99Jou","XuZ09Urb",1.93617021276596
"795","Cra05Con","Ros80Jou",1.93617021276596
"951","Dim09Urb","XuZ09Urb",1.93617021276596
"1258","Gan06Eco","Ven13Oec",1.93617021276596
"1448","Gul12Age","Ven13Oec",1.93617021276596
"1753","Li_16Wor","Ven13Oec",1.93617021276596
"1770","Luc14Eco","Ros80Jou",1.93617021276596
"1785","Mal80Env","Mor13Tow",1.93617021276596
"1795","Mal80Env","Roz11Ame",1.93617021276596
"367","Ber12Cit","Ven13Oec",1.9822695035461
"482","Bos08Reg","Ven13Oec",1.9822695035461
"538","Bra99Jou","Ven13Oec",1.9822695035461
"678","Cam90Jou","Mal80Env",1.9822695035461
"950","Dim09Urb","Ven13Oec",1.9822695035461
"1153","Gab11Jou","Mal80Env",1.9822695035461
"1195","Gab99Qua","Mal80Env",1.9822695035461
"1239","Gan06Eco","Mod15Qua",1.9822695035461
"1429","Gul12Age","Mod15Qua",1.9822695035461
"1591","Knu01Ame","Mal80Env",1.9822695035461
"1650","Kru96Jou","Mal80Env",1.9822695035461
"1734","Li_16Wor","Mod15Qua",1.9822695035461
"1786","Mal80Env","Nau03Jou",1.9822695035461
"1788","Mal80Env","Oka79Reg",1.9822695035461
"1801","Mal80Env","Sua80Jou",1.9822695035461
"1908","Mor13Tow","XuZ09Urb",1.9822695035461
"2043","Roz11Ame","XuZ09Urb",1.9822695035461
"348","Ber12Cit","Mod15Qua",2.02836879432624
"463","Bos08Reg","Mod15Qua",2.02836879432624
"519","Bra99Jou","Mod15Qua",2.02836879432624
"701","Cam90Jou","XuZ09Urb",2.02836879432624
"931","Dim09Urb","Mod15Qua",2.02836879432624
"1176","Gab11Jou","XuZ09Urb",2.02836879432624
"1218","Gab99Qua","XuZ09Urb",2.02836879432624
"1614","Knu01Ame","XuZ09Urb",2.02836879432624
"1673","Kru96Jou","XuZ09Urb",2.02836879432624
"1839","Mir86Urb","Ros80Jou",2.02836879432624
"1907","Mor13Tow","Ven13Oec",2.02836879432624
"1926","Nau03Jou","XuZ09Urb",2.02836879432624
"1959","Oka79Reg","XuZ09Urb",2.02836879432624
"2042","Roz11Ame","Ven13Oec",2.02836879432624
"2076","Sua80Jou","XuZ09Urb",2.02836879432624
"175","And05Reg","Par85Jou",2.07446808510638
"700","Cam90Jou","Ven13Oec",2.07446808510638
"1124","Faz15Jou","Ros80Jou",2.07446808510638
"1175","Gab11Jou","Ven13Oec",2.07446808510638
"1217","Gab99Qua","Ven13Oec",2.07446808510638
"1509","Ign15Dis","Ros80Jou",2.07446808510638
"1613","Knu01Ame","Ven13Oec",2.07446808510638
"1672","Kru96Jou","Ven13Oec",2.07446808510638
"1851","Mod15Qua","Mor13Tow",2.07446808510638
"1861","Mod15Qua","Roz11Ame",2.07446808510638
"1925","Nau03Jou","Ven13Oec",2.07446808510638
"1958","Oka79Reg","Ven13Oec",2.07446808510638
"1982","Par85Jou","She12Com",2.07446808510638
"2075","Sua80Jou","Ven13Oec",2.07446808510638
"300","Bat01Urb","Ros80Jou",2.12056737588652
"681","Cam90Jou","Mod15Qua",2.12056737588652
"894","Del13Eur","Ros80Jou",2.12056737588652
"1156","Gab11Jou","Mod15Qua",2.12056737588652
"1198","Gab99Qua","Mod15Qua",2.12056737588652
"1594","Knu01Ame","Mod15Qua",2.12056737588652
"1653","Kru96Jou","Mod15Qua",2.12056737588652
"1852","Mod15Qua","Nau03Jou",2.12056737588652
"1854","Mod15Qua","Oka79Reg",2.12056737588652
"1867","Mod15Qua","Sua80Jou",2.12056737588652
"2031","Ros80Jou","Soo07Urb",2.12056737588652
"791","Cra05Con","Par85Jou",2.16666666666667
"1766","Luc14Eco","Par85Jou",2.16666666666667
"2004","Pop74Sov","Ros80Jou",2.16666666666667
"2029","Ros80Jou","Son02Urb",2.16666666666667
"585","Bre00Cyb","Ros80Jou",2.21276595744681
"1290","Gan13Eco","Ros80Jou",2.21276595744681
"1329","Gie10Jou","Ros80Jou",2.21276595744681
"1817","Man16Reg","Ros80Jou",2.21276595744681
"1363","Gon10Jou","Par85Jou",2.25886524822695
"1835","Mir86Urb","Par85Jou",2.25886524822695
"2015","Pum15Cyb","Ros80Jou",2.25886524822695
"117","Ama14Int","Ros80Jou",2.30496453900709
"639","Bre15Int","Ros80Jou",2.30496453900709
"744","Cie16Mis","Ros80Jou",2.30496453900709
"989","Eec04The","Ros80Jou",2.30496453900709
"1035","Ett87Env","Ros80Jou",2.30496453900709
"1120","Faz15Jou","Par85Jou",2.30496453900709
"1505","Ign15Dis","Par85Jou",2.30496453900709
"1635","Kra98Urb","Ros80Jou",2.30496453900709
"296","Bat01Urb","Par85Jou",2.35106382978723
"890","Del13Eur","Par85Jou",2.35106382978723
"1985","Par85Jou","Soo07Urb",2.35106382978723
"1250","Gan06Eco","Ros80Jou",2.39716312056738
"1440","Gul12Age","Ros80Jou",2.39716312056738
"1745","Li_16Wor","Ros80Jou",2.39716312056738
"1977","Par85Jou","Pop74Sov",2.39716312056738
"1983","Par85Jou","Son02Urb",2.39716312056738
"359","Ber12Cit","Ros80Jou",2.44326241134752
"474","Bos08Reg","Ros80Jou",2.44326241134752
"530","Bra99Jou","Ros80Jou",2.44326241134752
"581","Bre00Cyb","Par85Jou",2.44326241134752
"942","Dim09Urb","Ros80Jou",2.44326241134752
"1286","Gan13Eco","Par85Jou",2.44326241134752
"1325","Gie10Jou","Par85Jou",2.44326241134752
"1813","Man16Reg","Par85Jou",2.44326241134752
"1367","Gon10Jou","Ros80Jou",2.48936170212766
"1899","Mor13Tow","Ros80Jou",2.48936170212766
"1978","Par85Jou","Pum15Cyb",2.48936170212766
"2026","Ros80Jou","Roz11Ame",2.48936170212766
"113","Ama14Int","Par85Jou",2.5354609929078
"635","Bre15Int","Par85Jou",2.5354609929078
"692","Cam90Jou","Ros80Jou",2.5354609929078
"740","Cie16Mis","Par85Jou",2.5354609929078
"985","Eec04The","Par85Jou",2.5354609929078
"1031","Ett87Env","Par85Jou",2.5354609929078
"1167","Gab11Jou","Ros80Jou",2.5354609929078
"1209","Gab99Qua","Ros80Jou",2.5354609929078
"1605","Knu01Ame","Ros80Jou",2.5354609929078
"1631","Kra98Urb","Par85Jou",2.5354609929078
"1664","Kru96Jou","Ros80Jou",2.5354609929078
"1917","Nau03Jou","Ros80Jou",2.5354609929078
"1950","Oka79Reg","Ros80Jou",2.5354609929078
"2032","Ros80Jou","Sua80Jou",2.5354609929078
"1246","Gan06Eco","Par85Jou",2.62765957446809
"1436","Gul12Age","Par85Jou",2.62765957446809
"1741","Li_16Wor","Par85Jou",2.62765957446809
"355","Ber12Cit","Par85Jou",2.67375886524823
"470","Bos08Reg","Par85Jou",2.67375886524823
"526","Bra99Jou","Par85Jou",2.67375886524823
"938","Dim09Urb","Par85Jou",2.67375886524823
"1895","Mor13Tow","Par85Jou",2.71985815602837
"1980","Par85Jou","Roz11Ame",2.71985815602837
"688","Cam90Jou","Par85Jou",2.76595744680851
"1163","Gab11Jou","Par85Jou",2.76595744680851
"1205","Gab99Qua","Par85Jou",2.76595744680851
"1601","Knu01Ame","Par85Jou",2.76595744680851
"1660","Kru96Jou","Par85Jou",2.76595744680851
"1913","Nau03Jou","Par85Jou",2.76595744680851
"1946","Oka79Reg","Par85Jou",2.76595744680851
"1986","Par85Jou","Sua80Jou",2.76595744680851
"1356","Gon10Jou","Mod15Qua",2.90425531914894
"1375","Gon10Jou","Ven13Oec",2.95035460992908
"1376","Gon10Jou","XuZ09Urb",2.99645390070922
"1353","Gon10Jou","Mal80Env",3.04255319148936
"2070","Soo05Reg","Ziq16Asi",3.13475177304965
"1989","Par85Jou","Ziq16Asi",3.18085106382979
"212","Ara14Eco","Gon10Jou",3.4113475177305
"1052","Ezz15Rev","Gon10Jou",3.4113475177305
"1349","Gon10Jou","Kum14Jou",3.4113475177305
"1364","Gon10Jou","Pen10Phy",3.4113475177305
"2035","Ros80Jou","Ziq16Asi",3.4113475177305
"1342","Gon10Jou","Hol10Nat",3.59574468085106
"1870","Mod15Qua","Ziq16Asi",3.82624113475177
"1360","Gon10Jou","Nis08Jou",3.87234042553191
"2079","Ven13Oec","Ziq16Asi",3.87234042553191
"2080","XuZ09Urb","Ziq16Asi",3.91843971631206
"1340","Gon10Jou","Gue95Urb",3.9645390070922
"1362","Gon10Jou","Par83Jou",3.9645390070922
"1369","Gon10Jou","Sch12Reg",3.9645390070922
"1804","Mal80Env","Ziq16Asi",3.9645390070922
"26","Alp89Jou","Gon10Jou",4.05673758865248
"1345","Gon10Jou","Kam90Jou",4.05673758865248
"1350","Gon10Jou","LeG08Emp",4.05673758865248
"1372","Gon10Jou","Soo05Reg",4.05673758865248
"389","Bla03Jou","Gon10Jou",4.14893617021277
"817","Del04Con","Gon10Jou",4.14893617021277
"1344","Gon10Jou","Iye13Eur",4.14893617021277
"1357","Gon10Jou","Mor13Tex",4.14893617021277
"151","And05Reg","Gon10Jou",4.33333333333333
"250","Ara14Eco","Ziq16Asi",4.33333333333333
"1090","Ezz15Rev","Ziq16Asi",4.33333333333333
"1370","Gon10Jou","She12Com",4.33333333333333
"1702","Kum14Jou","Ziq16Asi",4.33333333333333
"2002","Pen10Phy","Ziq16Asi",4.33333333333333
"767","Cra05Con","Gon10Jou",4.42553191489362
"1352","Gon10Jou","Luc14Eco",4.42553191489362
"1355","Gon10Jou","Mir86Urb",4.5177304964539
"1485","Hol10Nat","Ziq16Asi",4.5177304964539
"1096","Faz15Jou","Gon10Jou",4.56382978723404
"1343","Gon10Jou","Ign15Dis",4.56382978723404
"272","Bat01Urb","Gon10Jou",4.60992907801418
"866","Del13Eur","Gon10Jou",4.60992907801418
"1373","Gon10Jou","Soo07Urb",4.60992907801418
"1365","Gon10Jou","Pop74Sov",4.65602836879433
"1371","Gon10Jou","Son02Urb",4.65602836879433
"557","Bre00Cyb","Gon10Jou",4.70212765957447
"1262","Gan13Eco","Gon10Jou",4.70212765957447
"1301","Gie10Jou","Gon10Jou",4.70212765957447
"1354","Gon10Jou","Man16Reg",4.70212765957447
"1366","Gon10Jou","Pum15Cyb",4.74822695035461
"89","Ama14Int","Gon10Jou",4.79432624113475
"611","Bre15Int","Gon10Jou",4.79432624113475
"716","Cie16Mis","Gon10Jou",4.79432624113475
"961","Eec04The","Gon10Jou",4.79432624113475
"1007","Ett87Env","Gon10Jou",4.79432624113475
"1347","Gon10Jou","Kra98Urb",4.79432624113475
"1944","Nis08Jou","Ziq16Asi",4.79432624113475
"1222","Gan06Eco","Gon10Jou",4.88652482269504
"1341","Gon10Jou","Gul12Age",4.88652482269504
"1351","Gon10Jou","Li_16Wor",4.88652482269504
"1414","Gue95Urb","Ziq16Asi",4.88652482269504
"1975","Par83Jou","Ziq16Asi",4.88652482269504
"2052","Sch12Reg","Ziq16Asi",4.88652482269504
"331","Ber12Cit","Gon10Jou",4.93262411347518
"446","Bos08Reg","Gon10Jou",4.93262411347518
"502","Bra99Jou","Gon10Jou",4.93262411347518
"914","Dim09Urb","Gon10Jou",4.93262411347518
"64","Alp89Jou","Ziq16Asi",4.97872340425532
"1358","Gon10Jou","Mor13Tow",4.97872340425532
"1368","Gon10Jou","Roz11Ame",4.97872340425532
"1584","Kam90Jou","Ziq16Asi",4.97872340425532
"1729","LeG08Emp","Ziq16Asi",4.97872340425532
"664","Cam90Jou","Gon10Jou",5.02482269503546
"1139","Gab11Jou","Gon10Jou",5.02482269503546
"1181","Gab99Qua","Gon10Jou",5.02482269503546
"1346","Gon10Jou","Knu01Ame",5.02482269503546
"1348","Gon10Jou","Kru96Jou",5.02482269503546
"1359","Gon10Jou","Nau03Jou",5.02482269503546
"1361","Gon10Jou","Oka79Reg",5.02482269503546
"1374","Gon10Jou","Sua80Jou",5.02482269503546
"427","Bla03Jou","Ziq16Asi",5.0709219858156
"855","Del04Con","Ziq16Asi",5.0709219858156
"1552","Iye13Eur","Ziq16Asi",5.0709219858156
"1890","Mor13Tex","Ziq16Asi",5.0709219858156
"189","And05Reg","Ziq16Asi",5.25531914893617
"2059","She12Com","Ziq16Asi",5.25531914893617
"805","Cra05Con","Ziq16Asi",5.34751773049645
"1780","Luc14Eco","Ziq16Asi",5.34751773049645
"1849","Mir86Urb","Ziq16Asi",5.43971631205674
"1134","Faz15Jou","Ziq16Asi",5.48581560283688
"1519","Ign15Dis","Ziq16Asi",5.48581560283688
"310","Bat01Urb","Ziq16Asi",5.53191489361702
"904","Del13Eur","Ziq16Asi",5.53191489361702
"2074","Soo07Urb","Ziq16Asi",5.53191489361702
"2014","Pop74Sov","Ziq16Asi",5.57801418439716
"2065","Son02Urb","Ziq16Asi",5.57801418439716
"595","Bre00Cyb","Ziq16Asi",5.6241134751773
"1300","Gan13Eco","Ziq16Asi",5.6241134751773
"1339","Gie10Jou","Ziq16Asi",5.6241134751773
"1827","Man16Reg","Ziq16Asi",5.6241134751773
"2025","Pum15Cyb","Ziq16Asi",5.67021276595745
"127","Ama14Int","Ziq16Asi",5.71631205673759
"649","Bre15Int","Ziq16Asi",5.71631205673759
"754","Cie16Mis","Ziq16Asi",5.71631205673759
"999","Eec04The","Ziq16Asi",5.71631205673759
"1045","Ett87Env","Ziq16Asi",5.71631205673759
"1645","Kra98Urb","Ziq16Asi",5.71631205673759
"1260","Gan06Eco","Ziq16Asi",5.80851063829787
"1450","Gul12Age","Ziq16Asi",5.80851063829787
"1755","Li_16Wor","Ziq16Asi",5.80851063829787
"369","Ber12Cit","Ziq16Asi",5.85460992907801
"484","Bos08Reg","Ziq16Asi",5.85460992907801
"540","Bra99Jou","Ziq16Asi",5.85460992907801
"952","Dim09Urb","Ziq16Asi",5.85460992907801
"1909","Mor13Tow","Ziq16Asi",5.90070921985816
"2044","Roz11Ame","Ziq16Asi",5.90070921985816
"702","Cam90Jou","Ziq16Asi",5.9468085106383
"1177","Gab11Jou","Ziq16Asi",5.9468085106383
"1219","Gab99Qua","Ziq16Asi",5.9468085106383
"1615","Knu01Ame","Ziq16Asi",5.9468085106383
"1674","Kru96Jou","Ziq16Asi",5.9468085106383
"1927","Nau03Jou","Ziq16Asi",5.9468085106383
"1960","Oka79Reg","Ziq16Asi",5.9468085106383
"2077","Sua80Jou","Ziq16Asi",5.9468085106383
"1984","Par85Jou","Soo05Reg",6.31560283687943
"2030","Ros80Jou","Soo05Reg",6.54609929078014
"1865","Mod15Qua","Soo05Reg",6.96099290780142
"2068","Soo05Reg","Ven13Oec",7.00709219858156
"2069","Soo05Reg","XuZ09Urb",7.0531914893617
"1799","Mal80Env","Soo05Reg",7.09929078014184
"245","Ara14Eco","Soo05Reg",7.46808510638298
"1085","Ezz15Rev","Soo05Reg",7.46808510638298
"1697","Kum14Jou","Soo05Reg",7.46808510638298
"1997","Pen10Phy","Soo05Reg",7.46808510638298
"1480","Hol10Nat","Soo05Reg",7.65248226950355
"1939","Nis08Jou","Soo05Reg",7.9290780141844
"1409","Gue95Urb","Soo05Reg",8.02127659574468
"1970","Par83Jou","Soo05Reg",8.02127659574468
"2047","Sch12Reg","Soo05Reg",8.02127659574468
"59","Alp89Jou","Soo05Reg",8.11347517730496
"1579","Kam90Jou","Soo05Reg",8.11347517730496
"1724","LeG08Emp","Soo05Reg",8.11347517730496
"422","Bla03Jou","Soo05Reg",8.20567375886525
"850","Del04Con","Soo05Reg",8.20567375886525
"1547","Iye13Eur","Soo05Reg",8.20567375886525
"1885","Mor13Tex","Soo05Reg",8.20567375886525
"184","And05Reg","Soo05Reg",8.39007092198582
"2054","She12Com","Soo05Reg",8.39007092198582
"800","Cra05Con","Soo05Reg",8.4822695035461
"1775","Luc14Eco","Soo05Reg",8.4822695035461
"1844","Mir86Urb","Soo05Reg",8.57446808510638
"1129","Faz15Jou","Soo05Reg",8.62056737588652
"1514","Ign15Dis","Soo05Reg",8.62056737588652
"305","Bat01Urb","Soo05Reg",8.66666666666667
"899","Del13Eur","Soo05Reg",8.66666666666667
"2066","Soo05Reg","Soo07Urb",8.66666666666667
"2009","Pop74Sov","Soo05Reg",8.71276595744681
"2060","Son02Urb","Soo05Reg",8.71276595744681
"590","Bre00Cyb","Soo05Reg",8.75886524822695
"1295","Gan13Eco","Soo05Reg",8.75886524822695
"1334","Gie10Jou","Soo05Reg",8.75886524822695
"1822","Man16Reg","Soo05Reg",8.75886524822695
"2020","Pum15Cyb","Soo05Reg",8.80496453900709
"122","Ama14Int","Soo05Reg",8.85106382978723
"644","Bre15Int","Soo05Reg",8.85106382978723
"749","Cie16Mis","Soo05Reg",8.85106382978723
"994","Eec04The","Soo05Reg",8.85106382978723
"1040","Ett87Env","Soo05Reg",8.85106382978723
"1640","Kra98Urb","Soo05Reg",8.85106382978723
"1255","Gan06Eco","Soo05Reg",8.94326241134752
"1445","Gul12Age","Soo05Reg",8.94326241134752
"1750","Li_16Wor","Soo05Reg",8.94326241134752
"364","Ber12Cit","Soo05Reg",8.98936170212766
"479","Bos08Reg","Soo05Reg",8.98936170212766
"535","Bra99Jou","Soo05Reg",8.98936170212766
"947","Dim09Urb","Soo05Reg",8.98936170212766
"1904","Mor13Tow","Soo05Reg",9.0354609929078
"2039","Roz11Ame","Soo05Reg",9.0354609929078
"697","Cam90Jou","Soo05Reg",9.08156028368794
"1172","Gab11Jou","Soo05Reg",9.08156028368794
"1214","Gab99Qua","Soo05Reg",9.08156028368794
"1610","Knu01Ame","Soo05Reg",9.08156028368794
"1669","Kru96Jou","Soo05Reg",9.08156028368794
"1922","Nau03Jou","Soo05Reg",9.08156028368794
"1955","Oka79Reg","Soo05Reg",9.08156028368794
"2067","Soo05Reg","Sua80Jou",9.08156028368794
