"","i","j","diff_sd"
"1026","Ett87Env","Mor13Tow",0.112574946631694
"252","Bat01Urb","Bla03Jou",0.11314254588789
"465","Bos08Reg","Mor13Tow",0.113795561265232
"432","Bos08Reg","Cie16Mis",0.114069634563753
"1418","Gul12Age","Kam90Jou",0.114346864905262
"768","Cra05Con","Gue95Urb",0.114367515468854
"1848","Mir86Urb","XuZ09Urb",0.115036202397879
"708","Cie16Mis","Ett87Env",0.115290249197291
"2021","Pum15Cyb","Soo07Urb",0.11570156080034
"1618","Kra98Urb","LeG08Emp",0.115990521968201
"1865","Mod15Qua","Soo05Reg",0.116401520620026
"53","Alp89Jou","Pum15Cyb",0.116734824195295
"1258","Gan06Eco","Ven13Oec",0.117255911717186
"1328","Gie10Jou","Pum15Cyb",0.117456318350433
"2027","Ros80Jou","Sch12Reg",0.117581010656438
"999","Eec04The","Ziq16Asi",0.117646961422802
"78","Ama14Int","Del13Eur",0.11765883538414
"88","Ama14Int","Gie10Jou",0.117754547356954
"885","Del13Eur","Mor13Tow",0.118425981948239
"1","Alp89Jou","Ama14Int",0.118476041512091
"1631","Kra98Urb","Par85Jou",0.118951853765865
"123","Ama14Int","Soo07Urb",0.119509304907046
"137","And05Reg","Cie16Mis",0.120045052357388
"363","Ber12Cit","Son02Urb",0.12010134243956
"1570","Kam90Jou","Par85Jou",0.120563594021131
"853","Del04Con","Ven13Oec",0.120853019087365
"523","Bra99Jou","Nis08Jou",0.12138822490761
"1233","Gan06Eco","LeG08Emp",0.121764287599711
"70","Ama14Int","Bos08Reg",0.122289256067147
"1572","Kam90Jou","Pop74Sov",0.122523506990189
"1399","Gue95Urb","Par83Jou",0.12261628080398
"178","And05Reg","Pum15Cyb",0.123385434853393
"81","Ama14Int","Ett87Env",0.123509870700685
"1557","Kam90Jou","LeG08Emp",0.123524925818795
"218","Ara14Eco","Kam90Jou",0.1239774523952
"760","Cra05Con","Ezz15Rev",0.124431580434183
"1969","Par83Jou","Son02Urb",0.124436868763629
"585","Bre00Cyb","Ros80Jou",0.124674760726
"1246","Gan06Eco","Par85Jou",0.124725619397374
"1420","Gul12Age","Kra98Urb",0.125168582881734
"2051","Sch12Reg","XuZ09Urb",0.1252481612463
"828","Del04Con","LeG08Emp",0.12536139496989
"715","Cie16Mis","Gie10Jou",0.125974168860348
"149","And05Reg","Gan13Eco",0.126526830382867
"12","Alp89Jou","Cie16Mis",0.126695663015486
"1847","Mir86Urb","Ven13Oec",0.126973557393695
"750","Cie16Mis","Soo07Urb",0.127728926410441
"1582","Kam90Jou","Ven13Oec",0.128033301701319
"841","Del04Con","Par85Jou",0.128322726767553
"300","Bat01Urb","Ros80Jou",0.128562507110575
"182","And05Reg","She12Com",0.128726710980487
