"","i","j","cosSim"
"421","Par85Jou","Ama14Int",1
"422","Par85Jou","Ara14Eco",1
"423","Par85Jou","Kum14Jou",1
"424","Par85Jou","Luc14Eco",1
"425","Par85Jou","Bre15Int",1
"426","Par85Jou","Ezz15Rev",1
"427","Par85Jou","Faz15Jou",1
"428","Par85Jou","Ign15Dis",1
"429","Par85Jou","Mod15Qua",1
"430","Par85Jou","Pum15Cyb",1
"431","Par85Jou","Cie16Mis",1
"432","Par85Jou","Li_16Wor",1
"433","Par85Jou","Man16Reg",1
"434","Par85Jou","Ziq16Asi",1
"435","Mir86Urb","Ett87Env",1
"436","Mir86Urb","Alp89Jou",1
"437","Mir86Urb","Cam90Jou",1
"438","Mir86Urb","Kam90Jou",1
"439","Mir86Urb","Gue95Urb",1
"440","Mir86Urb","Kru96Jou",1
"441","Mir86Urb","Kra98Urb",1
"442","Mir86Urb","Bra99Jou",1
"443","Mir86Urb","Gab99Qua",1
"444","Mir86Urb","Bre00Cyb",1
"445","Mir86Urb","Bat01Urb",1
"446","Mir86Urb","Knu01Ame",1
"447","Mir86Urb","Son02Urb",1
"448","Mir86Urb","Bla03Jou",1
"449","Mir86Urb","Nau03Jou",1
"450","Mir86Urb","Del04Con",1
"451","Mir86Urb","Eec04The",1
"452","Mir86Urb","And05Reg",1
"453","Mir86Urb","Cra05Con",1
"454","Mir86Urb","Soo05Reg",1
"455","Mir86Urb","Gan06Eco",1
"456","Mir86Urb","Soo07Urb",1
"457","Mir86Urb","Bos08Reg",1
"458","Mir86Urb","LeG08Emp",1
"459","Mir86Urb","Nis08Jou",1
"460","Mir86Urb","Dim09Urb",1
"461","Mir86Urb","XuZ09Urb",1
"462","Mir86Urb","Gie10Jou",1
"463","Mir86Urb","Gon10Jou",1
"464","Mir86Urb","Hol10Nat",1
"465","Mir86Urb","Pen10Phy",1
"466","Mir86Urb","Gab11Jou",1
"467","Mir86Urb","Roz11Ame",1
"468","Mir86Urb","Arr12Reg",1
"469","Mir86Urb","Ber12Cit",1
"470","Mir86Urb","Gul12Age",1
"471","Mir86Urb","Sch12Reg",1
"472","Mir86Urb","She12Com",1
"473","Mir86Urb","Del13Eur",1
"474","Mir86Urb","Gan13Eco",1
"475","Mir86Urb","Iye13Eur",1
"476","Mir86Urb","Mor13Tex",1
"477","Mir86Urb","Mor13Tow",1
"478","Mir86Urb","Ven13Oec",1
"479","Mir86Urb","Ama14Int",1
"480","Mir86Urb","Ara14Eco",1
"481","Mir86Urb","Kum14Jou",1
"482","Mir86Urb","Luc14Eco",1
"483","Mir86Urb","Bre15Int",1
"484","Mir86Urb","Ezz15Rev",1
"485","Mir86Urb","Faz15Jou",1
"486","Mir86Urb","Ign15Dis",1
"487","Mir86Urb","Mod15Qua",1
"488","Mir86Urb","Pum15Cyb",1
"489","Mir86Urb","Cie16Mis",1
"490","Mir86Urb","Li_16Wor",1
"491","Mir86Urb","Man16Reg",1
"492","Mir86Urb","Ziq16Asi",1
"493","Ett87Env","Alp89Jou",1
"494","Ett87Env","Cam90Jou",1
"495","Ett87Env","Kam90Jou",1
"496","Ett87Env","Gue95Urb",1
"497","Ett87Env","Kru96Jou",1
"498","Ett87Env","Kra98Urb",1
"499","Ett87Env","Bra99Jou",1
"500","Ett87Env","Gab99Qua",1
"501","Ett87Env","Bre00Cyb",1
"502","Ett87Env","Bat01Urb",1
"503","Ett87Env","Knu01Ame",1
"504","Ett87Env","Son02Urb",1
"505","Ett87Env","Bla03Jou",1
"506","Ett87Env","Nau03Jou",1
"507","Ett87Env","Del04Con",1
"508","Ett87Env","Eec04The",1
"509","Ett87Env","And05Reg",1
"510","Ett87Env","Cra05Con",1
"511","Ett87Env","Soo05Reg",1
"512","Ett87Env","Gan06Eco",1
"513","Ett87Env","Soo07Urb",1
"514","Ett87Env","Bos08Reg",1
"515","Ett87Env","LeG08Emp",1
"516","Ett87Env","Nis08Jou",1
"517","Ett87Env","Dim09Urb",1
"518","Ett87Env","XuZ09Urb",1
"519","Ett87Env","Gie10Jou",1
"520","Ett87Env","Gon10Jou",1
"521","Ett87Env","Hol10Nat",1
"522","Ett87Env","Pen10Phy",1
"523","Ett87Env","Gab11Jou",1
